algorithm,num_patients,num_doctors,num_days,total_resolved,avg_daily_satisfaction_rate,avg_waitlist_size,min_waitlist_size,max_waitlist_size,final_waitlist_size,avg_cycles_per_day,avg_cycle_length_overall,resolved_count,resolved_avg_wait,resolved_std_wait,resolved_p50,resolved_p90,resolved_p95,resolved_p99,resolved_max,outstanding_count,outstanding_avg_wait,outstanding_p50,outstanding_p90,outstanding_p95,outstanding_p99,outstanding_max,overall_avg_wait,overall_max_wait,starvation_threshold_days,starved_resolved,starved_outstanding,num_districts,cross_district_prob,cross_added,within_added,cross_resolved_count,cross_resolved_avg,cross_resolved_p90,cross_resolved_p99,cross_resolved_max,within_resolved_count,within_resolved_avg,within_resolved_p90,within_resolved_p99,within_resolved_max,cross_outstanding_count,cross_outstanding_avg,within_outstanding_count,within_outstanding_avg,total_solve_ms,avg_solve_ms,max_solve_ms
Greedy DFS,100000,102,730,46988,0.008051,6575.8945,3768,20000,9512,10.1671,6.5862,46988,53.9732,120.0187,1,215,357,538,717,9512,238.0475,217,477,534,608,714,84.9629,717,90,8148,7246,6,0.0200,1201,55299,1094,32.2724,90,366,637,45894,54.4905,218,540,717,107,177.8318,9405,238.7326,20361.5968,27.8926,831.0975
Huitfeldt TTC,100000,102,730,48338,0.008984,5910.4849,3770,20000,8162,20.7849,2.8587,48338,18.4092,59.7487,1,39,96,327,721,8162,419.6021,434,730,730,730,730,76.3656,730,90,2555,6811,6,0.0200,1125,55375,977,41.6325,129,453,696,47361,17.9301,38,322,721,148,345.0811,8014,420.9783,35777.0487,49.0097,1222.8430
Exact Cardinality,100000,102,730,49064,0.009963,5311.8452,2929,20000,7436,26.3890,3.3069,49064,17.4833,60.2645,1,31,96,332,725,7436,406.1114,405,730,730,730,730,68.6309,730,90,2552,6186,6,0.0200,1134,55366,1049,33.7464,102,430,581,48015,17.1280,30,328,725,85,270.9059,7351,407.6747,4962.1121,6.7974,1118.8833
Exact Priority,100000,102,730,47394,0.008018,6631.3630,4341,20000,9106,28.9384,3.0083,47394,58.5780,120.6442,1,252,362,500,621,9106,226.7348,210,449,501,571,620,85.6796,621,90,9252,6894,6,0.0200,1132,55368,984,51.1880,184,499,584,46410,58.7347,253,500,621,148,199.2297,8958,227.1892,15770.5144,21.6034,202.4031
Util Linear,100000,102,730,48765,0.009688,5466.5027,2929,20000,7735,29.2945,3.2211,48765,26.8725,78.3043,1,71,173,432,727,7735,346.4911,301,730,730,730,730,70.6292,730,90,4178,6104,6,0.0200,1169,55331,998,38.7305,134,441,543,47767,26.6248,70,432,727,171,276.5380,7564,348.0726,164973.0403,225.9905,135637.8763
Util Exp 1.01,100000,102,730,49109,0.010207,5195.0329,2929,20000,7391,28.4548,3.3894,49109,17.4937,61.2391,1,30,94,345,727,7391,396.8713,385,730,730,730,730,67.1217,730,90,2547,6078,6,0.0200,1144,55356,1045,29.0191,77,454,722,48064,17.2431,29,343,727,99,262.1717,7292,398.7001,166657.2208,228.2976,141115.3653
Util Exp 1.05,100000,102,730,48658,0.009911,5368.8260,2929,20000,7842,28.5836,3.2928,48658,24.6650,80.6074,1,50,148,465,730,7842,346.7348,299,730,730,730,730,69.3671,730,90,3480,6249,6,0.0200,1204,55296,1070,32.7523,100,363,673,47588,24.4831,49,469,730,134,219.2761,7708,348.9506,162278.3261,222.2991,135732.4137
Util Exp 1.1,100000,102,730,48220,0.009645,5510.2425,2929,20000,8280,28.3041,3.2309,48220,26.5807,81.5764,1,63,175,452,727,8280,331.0089,280,730,730,730,730,71.1943,730,90,3952,6553,6,0.0200,1228,55272,1045,32.7005,102,426,570,47175,26.4452,62,452,727,183,280.2678,8097,332.1557,162781.3724,222.9882,135341.3904
Util Exp 1.5,100000,102,730,48022,0.009167,5759.0260,2929,20000,8478,27.7795,3.2040,48022,28.4735,83.7692,1,73,184,459,730,8478,334.5996,288,730,730,730,730,74.4087,730,90,4240,6727,6,0.0200,1139,55361,972,38.5977,106,463,684,47050,28.2643,72,459,730,167,233.9341,8311,336.6223,163110.9841,223.4397,135366.4197
Util Exp 1.9,100000,102,730,47983,0.009164,5772.7644,2929,20000,8517,27.5329,3.2199,47983,28.5765,83.8455,1,73,186,461,729,8517,333.7949,294,730,730,730,730,74.5862,730,90,4262,6783,6,0.0200,1164,55336,1019,36.3984,118,405,547,46964,28.4068,72,462,729,145,278.1103,8372,334.7593,164077.5769,224.7638,135600.7112
