algorithm,num_patients,num_doctors,num_days,total_resolved,avg_daily_satisfaction_rate,avg_waitlist_size,min_waitlist_size,max_waitlist_size,final_waitlist_size,avg_cycles_per_day,avg_cycle_length_overall,resolved_count,resolved_avg_wait,resolved_std_wait,resolved_p50,resolved_p90,resolved_p95,resolved_p99,resolved_max,outstanding_count,outstanding_avg_wait,outstanding_p50,outstanding_p90,outstanding_p95,outstanding_p99,outstanding_max,overall_avg_wait,overall_max_wait,starvation_threshold_days,starved_resolved,starved_outstanding,num_districts,cross_district_prob,cross_added,within_added,cross_resolved_count,cross_resolved_avg,cross_resolved_p90,cross_resolved_p99,cross_resolved_max,within_resolved_count,within_resolved_avg,within_resolved_p90,within_resolved_p99,within_resolved_max,cross_outstanding_count,cross_outstanding_avg,within_outstanding_count,within_outstanding_avg,total_solve_ms,avg_solve_ms,max_solve_ms
Greedy DFS,100000,102,36500,623681,0.000979,26797.2823,972,38323,38319,5.0240,3.7053,623681,1304.7035,2550.0185,10,5754,7793,9763,13416,38319,4289.8307,3900,8483,9575,11901,13380,1477.4937,13416,90,238143,37550,6,0.1100,72621,589379,69844,748.3321,2499,9303,13129,553837,1374.8671,6020,9804,13416,2777,4057.8286,35542,4307.9577,13670177.4296,374.5254,83284.4084
Huitfeldt TTC,100000,102,36500,629146,0.001111,22895.0788,970,32880,32854,5.7138,3.0343,629146,352.9006,2001.8908,7,263,916,10202,36349,32854,18677.9193,19450,33472,34978,36332,36500,1262.3420,36500,90,112666,32386,6,0.1100,72806,589194,70652,384.9418,629,7831,34286,558494,348.8473,224,10593,36349,2154,12642.9870,30700,19101.3475,4671270.8400,127.9800,2513.3849
Exact Cardinality,100000,102,36500,629497,0.001147,22778.6055,702,32571,32503,6.7732,3.3741,629497,940.7005,2839.9868,6,2998,7423,14219,32203,32503,7360.8883,6015,15895,19061,25766,36172,1255.9201,36172,90,131561,32031,6,0.1100,73050,588950,70713,324.8843,371,7855,32203,558784,1018.6308,3607,14559,31291,2337,9544.7783,30166,7191.6994,337056.9576,9.2344,932.7209
Exact Priority,100000,102,36500,622002,0.000945,27923.0704,1103,40050,39998,6.9311,2.9122,622002,1384.1148,2528.4144,9,5964,7490,9335,11955,39998,3956.9457,3627,7762,8677,10271,11922,1539.5651,11955,90,239484,39269,6,0.1100,72552,589448,69059,988.4938,4434,9158,11902,552943,1433.5253,6083,9361,11955,3493,4160.1168,36505,3937.5052,13824560.4155,378.7551,1471.6269
Util Linear,100000,102,36500,623823,0.001024,26808.9140,702,38327,38177,8.8672,2.7444,623823,1331.6034,2414.9670,8,4799,6927,10378,17743,38177,3872.5026,3042,8448,10268,13676,16861,1478.1350,17743,90,268091,37377,6,0.1100,72889,589111,68341,1290.7577,4723,10928,17743,555482,1336.6287,4810,10312,16634,4548,4122.0198,33629,3838.7578,5718108.2896,156.6605,7203.2553
