algorithm,day,waitlist_before,patients_resolved,new_requests,waitlist_after,satisfaction_rate,cycles_found,avg_cycle_length,max_cycle_length,avg_wait_days,max_wait_days,cross_requests_added,cross_resolved,solve_ms
Greedy DFS,1,20000,16281,40,3759,0.814050,10,1628.1000,15914,1.0000,1,0,336,57.8982
Greedy DFS,2,3759,38,40,3761,0.010109,9,4.2222,10,1.6316,2,0,4,5.4586
Greedy DFS,3,3761,40,40,3761,0.010635,8,5.0000,14,2.2500,3,1,2,1.9577
Greedy DFS,4,3761,45,40,3756,0.011965,8,5.6250,22,2.8222,4,1,4,3.1652
Greedy DFS,5,3756,44,40,3752,0.011715,8,5.5000,12,3.2727,5,0,2,2.3911
Greedy DFS,6,3752,47,40,3745,0.012527,7,6.7143,31,4.0851,6,2,5,1.6100
Greedy DFS,7,3745,37,40,3748,0.009880,4,9.2500,30,4.9730,7,2,6,2.3789
Greedy DFS,8,3748,33,40,3755,0.008805,8,4.1250,8,5.2121,8,1,0,2.8747
Greedy DFS,9,3755,38,40,3757,0.010120,9,4.2222,10,5.6053,9,0,0,3.3348
Greedy DFS,10,3757,45,40,3752,0.011978,10,4.5000,10,6.1556,10,2,2,4.5823
Greedy DFS,11,3752,43,40,3749,0.011461,8,5.3750,13,6.8372,11,0,2,6.2034
Greedy DFS,12,3749,50,40,3739,0.013337,7,7.1429,18,7.3200,12,0,5,6.2390
Greedy DFS,13,3739,37,40,3742,0.009896,9,4.1111,7,7.2432,13,0,0,4.3713
Greedy DFS,14,3742,38,40,3744,0.010155,7,5.4286,12,8.5263,14,0,0,2.5539
Greedy DFS,15,3744,45,40,3739,0.012019,13,3.4615,10,8.4889,15,0,0,3.9477
Greedy DFS,16,3739,42,40,3737,0.011233,8,5.2500,23,8.8571,16,2,3,4.7754
Greedy DFS,17,3737,33,40,3744,0.008831,8,4.1250,10,9.2121,17,0,0,3.5589
Greedy DFS,18,3744,31,40,3753,0.008280,9,3.4444,7,9.3548,18,1,0,3.5281
Greedy DFS,19,3753,40,40,3753,0.010658,9,4.4444,10,10.1000,19,0,0,4.0911
Greedy DFS,20,3753,35,40,3758,0.009326,8,4.3750,12,11.5429,20,0,5,3.3163
Huitfeldt TTC,1,20000,16280,40,3760,0.814000,3916,4.1573,35,1.0000,1,1,340,1225.9785
Huitfeldt TTC,2,3760,30,40,3770,0.007979,12,2.5000,5,1.5667,2,1,0,33.8904
Huitfeldt TTC,3,3770,34,40,3776,0.009019,14,2.4286,4,2.0000,3,1,0,38.1356
Huitfeldt TTC,4,3776,42,40,3774,0.011123,14,3.0000,7,2.5238,4,0,3,30.2436
Huitfeldt TTC,5,3774,41,40,3773,0.010864,16,2.5625,4,2.9268,5,2,0,33.5714
Huitfeldt TTC,6,3773,32,40,3781,0.008481,13,2.4615,4,3.2500,6,1,0,26.7012
Huitfeldt TTC,7,3781,25,40,3796,0.006612,11,2.2727,5,3.8400,7,1,0,26.4538
Huitfeldt TTC,8,3796,29,40,3807,0.007640,10,2.9000,4,4.3448,8,2,0,26.3334
Huitfeldt TTC,9,3807,46,40,3801,0.012083,16,2.8750,4,4.8261,9,0,0,34.7115
Huitfeldt TTC,10,3801,43,40,3798,0.011313,15,2.8667,5,4.9302,10,3,0,31.2800
Huitfeldt TTC,11,3798,47,40,3791,0.012375,14,3.3571,6,5.3830,11,0,2,31.9137
