algorithm,num_patients,num_doctors,num_days,total_resolved,avg_daily_satisfaction_rate,avg_waitlist_size,min_waitlist_size,max_waitlist_size,final_waitlist_size,avg_cycles_per_day,avg_cycle_length_overall,resolved_count,resolved_avg_wait,resolved_std_wait,resolved_p50,resolved_p90,resolved_p95,resolved_p99,resolved_max,outstanding_count,outstanding_avg_wait,outstanding_p50,outstanding_p90,outstanding_p95,outstanding_p99,outstanding_max,overall_avg_wait,overall_max_wait,starvation_threshold_days,starved_resolved,starved_outstanding,num_districts,cross_district_prob,cross_added,within_added,cross_resolved_count,cross_resolved_avg,cross_resolved_p90,cross_resolved_p99,cross_resolved_max,within_resolved_count,within_resolved_avg,within_resolved_p90,within_resolved_p99,within_resolved_max,cross_outstanding_count,cross_outstanding_avg,within_outstanding_count,within_outstanding_avg,total_solve_ms,avg_solve_ms,max_solve_ms
Greedy DFS,1000,2,20,930,0.646330,69.2000,52,200,70,3.0000,18.6083,930,1.4516,0.6428,1,2,3,3,3,70,0.4857,0,1,2,2,2,1.3840,3,90,0,0,1,0.0200,0,1000,0,0.0000,0,0,0,930,1.4516,2,3,3,0,0.0000,70,0.4857,0.9328,0.0466,0.3556
Huitfeldt TTC,1000,2,20,922,0.590435,75.6000,46,200,78,23.0500,2.0000,922,1.1508,0.7110,1,1,2,5,8,78,5.7821,0,17,19,20,20,1.5120,20,90,0,0,1,0.0200,0,1000,0,0.0000,0,0,0,922,1.1508,1,5,8,0,0.0000,78,5.7821,8.4611,0.4231,1.9828
Exact Cardinality,1000,2,20,922,0.590435,75.6000,46,200,78,23.0500,2.0000,922,1.1508,0.7110,1,1,2,5,8,78,5.7821,0,17,19,20,20,1.5120,20,90,0,0,1,0.0200,0,1000,0,0.0000,0,0,0,922,1.1508,1,5,8,0,0.0000,78,5.7821,0.5482,0.0274,0.0991
Exact Priority,1000,2,20,898,0.586951,74.6000,46,200,102,22.4500,2.0000,898,1.5267,0.7725,1,3,3,4,4,102,1.1863,1,3,3,3,3,1.4920,4,90,0,0,1,0.0200,0,1000,0,0.0000,0,0,0,898,1.5267,3,4,4,0,0.0000,102,1.1863,0.7254,0.0363,0.1315
Util Linear,1000,2,20,922,0.590435,75.6000,46,200,78,23.0500,2.0000,922,1.1508,0.7110,1,1,2,5,8,78,5.7821,0,17,19,20,20,1.5120,20,90,0,0,1,0.0200,0,1000,0,0.0000,0,0,0,922,1.1508,1,5,8,0,0.0000,78,5.7821,0.9837,0.0492,0.1992
Util Exp 1.01,1000,2,20,922,0.590435,75.6000,46,200,78,23.0500,2.0000,922,1.1508,0.7110,1,1,2,5,8,78,5.7821,0,17,19,20,20,1.5120,20,90,0,0,1,0.0200,0,1000,0,0.0000,0,0,0,922,1.1508,1,5,8,0,0.0000,78,5.7821,0.9754,0.0488,0.2314
Util Exp 1.05,1000,2,20,922,0.590435,75.6000,46,200,78,23.0500,2.0000,922,1.1508,0.7110,1,1,2,5,8,78,5.7821,0,17,19,20,20,1.5120,20,90,0,0,1,0.0200,0,1000,0,0.0000,0,0,0,922,1.1508,1,5,8,0,0.0000,78,5.7821,0.9609,0.0480,0.2061
Util Exp 1.1,1000,2,20,922,0.590435,75.6000,46,200,78,23.0500,2.0000,922,1.1508,0.7110,1,1,2,5,8,78,5.7821,0,17,19,20,20,1.5120,20,90,0,0,1,0.0200,0,1000,0,0.0000,0,0,0,922,1.1508,1,5,8,0,0.0000,78,5.7821,0.9085,0.0454,0.2033
Util Exp 1.5,1000,2,20,922,0.590435,75.6000,46,200,78,23.0500,2.0000,922,1.1508,0.7110,1,1,2,5,8,78,5.7821,0,17,19,20,20,1.5120,20,90,0,0,1,0.0200,0,1000,0,0.0000,0,0,0,922,1.1508,1,5,8,0,0.0000,78,5.7821,0.9976,0.0499,0.2014
Util Exp 1.9,1000,2,20,922,0.590435,75.6000,46,200,78,23.0500,2.0000,922,1.1508,0.7110,1,1,2,5,8,78,5.7821,0,17,19,20,20,1.5120,20,90,0,0,1,0.0200,0,1000,0,0.0000,0,0,0,922,1.1508,1,5,8,0,0.0000,78,5.7821,0.9124,0.0456,0.2047
