algorithm,num_patients,num_doctors,num_days,total_resolved,avg_daily_satisfaction_rate,avg_waitlist_size,min_waitlist_size,max_waitlist_size,final_waitlist_size,avg_cycles_per_day,avg_cycle_length_overall,resolved_count,resolved_avg_wait,resolved_std_wait,resolved_p50,resolved_p90,resolved_p95,resolved_p99,resolved_max,outstanding_count,outstanding_avg_wait,outstanding_p50,outstanding_p90,outstanding_p95,outstanding_p99,outstanding_max,overall_avg_wait,overall_max_wait,starvation_threshold_days,starved_resolved,starved_outstanding,num_districts,cross_district_prob,cross_added,within_added,cross_resolved_count,cross_resolved_avg,cross_resolved_p90,cross_resolved_p99,cross_resolved_max,within_resolved_count,within_resolved_avg,within_resolved_p90,within_resolved_p99,within_resolved_max,cross_outstanding_count,cross_outstanding_avg,within_outstanding_count,within_outstanding_avg,total_solve_ms,avg_solve_ms,max_solve_ms
Greedy DFS,100000,102,3650,144259,0.003443,13480.4677,3737,21741,21741,9.5677,4.2668,144259,227.8774,425.0460,1,925,1277,1688,2125,21741,751.1309,684,1495,1655,1900,2127,296.4079,2127,90,44722,19964,6,0.0200,3294,162706,3157,101.2480,294,1350,1984,141102,230.7106,934,1690,2125,137,612.1971,21604,752.0119,456757.0268,125.1389,8213.6987
Huitfeldt TTC,100000,102,3650,148261,0.003966,11425.6658,3760,20000,17739,13.8759,2.8381,148261,57.2357,227.5336,2,93,264,1182,3631,17739,1872.5893,1866,3650,3650,3650,3650,251.2270,3650,90,15134,16696,6,0.0200,3389,162611,3132,137.1836,378,1785,3573,145129,55.5103,88,1160,3631,257,1216.6265,17482,1882.2325,408412.3126,111.8938,1251.9406
Exact Cardinality,100000,102,3650,149674,0.004380,10471.8110,2919,20000,16326,16.4049,3.2519,149674,59.2863,242.4241,2,91,284,1324,3638,16326,1797.6537,1722,3587,3650,3650,3650,230.2537,3650,90,15025,15464,6,0.0200,3311,162689,3183,79.0566,189,1068,3436,146491,58.8567,88,1331,3638,128,780.6797,16198,1805.6901,22149.0365,6.0682,1191.5831
Exact Priority,100000,102,3650,143652,0.003299,13946.3348,4327,22350,22348,17.0121,2.9146,143652,238.8100,429.8721,1,1001,1293,1610,1923,22348,742.7327,698,1435,1581,1775,1917,306.6513,1923,90,45328,20589,6,0.0200,3444,162556,3158,139.1770,466,1551,1923,140494,241.0495,1008,1612,1917,286,678.5559,22062,743.5647,329315.4563,90.2234,395.9646
