algorithm,kind,wait_days,count
Greedy DFS,resolved,1,41267
Greedy DFS,resolved,2,285
Greedy DFS,resolved,3,223
Greedy DFS,resolved,4,237
Greedy DFS,resolved,5,199
Greedy DFS,resolved,6,195
Greedy DFS,resolved,7,152
Greedy DFS,resolved,8,137
Greedy DFS,resolved,9,138
Greedy DFS,resolved,10,129
Greedy DFS,resolved,11,143
Greedy DFS,resolved,12,131
Greedy DFS,resolved,13,92
Greedy DFS,resolved,14,119
Greedy DFS,resolved,15,101
Greedy DFS,resolved,16,99
Greedy DFS,resolved,17,87
Greedy DFS,resolved,18,85
Greedy DFS,resolved,19,103
Greedy DFS,resolved,20,87
Greedy DFS,resolved,21,95
Greedy DFS,resolved,22,100
Greedy DFS,resolved,23,77
Greedy DFS,resolved,24,69
Greedy DFS,resolved,25,78
Greedy DFS,resolved,26,78
Greedy DFS,resolved,27,69
Greedy DFS,resolved,28,58
Greedy DFS,resolved,29,70
Greedy DFS,resolved,30,65
Greedy DFS,resolved,31,82
Greedy DFS,resolved,32,61
Greedy DFS,resolved,33,71
Greedy DFS,resolved,34,58
Greedy DFS,resolved,35,63
Greedy DFS,resolved,36,42
Greedy DFS,outstanding,0,180
Greedy DFS,outstanding,1,135
Greedy DFS,outstanding,2,132
Greedy DFS,outstanding,3,118
Greedy DFS,outstanding,4,114
Greedy DFS,outstanding,5,109
Greedy DFS,outstanding,6,109
Greedy DFS,outstanding,7,100
Greedy DFS,outstanding,8,105
Greedy DFS,outstanding,9,111
Greedy DFS,outstanding,10,108
Greedy DFS,outstanding,11,107
Greedy DFS,outstanding,12,101
Greedy DFS,outstanding,13,92
Greedy DFS,outstanding,14,89
Greedy DFS,outstanding,15,98
Greedy DFS,outstanding,16,93
Greedy DFS,outstanding,17,91
Greedy DFS,outstanding,18,80
Greedy DFS,outstanding,19,103
Greedy DFS,outstanding,20,97
Greedy DFS,outstanding,21,97
Greedy DFS,outstanding,22,93
Greedy DFS,outstanding,23,91
Greedy DFS,outstanding,24,91
Greedy DFS,outstanding,25,82
Greedy DFS,outstanding,26,84
Greedy DFS,outstanding,27,81
Greedy DFS,outstanding,28,86
Greedy DFS,outstanding,29,85
Greedy DFS,outstanding,30,85
Greedy DFS,outstanding,31,81
Greedy DFS,outstanding,32,71
Greedy DFS,outstanding,33,70
Greedy DFS,outstanding,34,76
Greedy DFS,outstanding,35,77
Greedy DFS,outstanding,36,7813
Huitfeldt TTC,resolved,1,41387
Huitfeldt TTC,resolved,2,290
Huitfeldt TTC,resolved,3,228
Huitfeldt TTC,resolved,4,236
Huitfeldt TTC,resolved,5,177
Huitfeldt TTC,resolved,6,231
Huitfeldt TTC,resolved,7,176
Huitfeldt TTC,resolved,8,174
Huitfeldt TTC,resolved,9,141
Huitfeldt TTC,resolved,10,133
Huitfeldt TTC,resolved,11,124
Huitfeldt TTC,resolved,12,102
Huitfeldt TTC,resolved,13,95
Huitfeldt TTC,resolved,14,107
Huitfeldt TTC,resolved,15,95
Huitfeldt TTC,resolved,16,81
Huitfeldt TTC,resolved,17,92
Huitfeldt TTC,resolved,18,81
Huitfeldt TTC,resolved,19,87
Huitfeldt TTC,resolved,20,76
Huitfeldt TTC,resolved,21,66
Huitfeldt TTC,resolved,22,79
Huitfeldt TTC,resolved,23,70
Huitfeldt TTC,resolved,24,62
Huitfeldt TTC,resolved,25,42
Huitfeldt TTC,resolved,26,49
Huitfeldt TTC,resolved,27,38
Huitfeldt TTC,resolved,28,60
Huitfeldt TTC,resolved,29,59
Huitfeldt TTC,resolved,30,53
Huitfeldt TTC,resolved,31,56
Huitfeldt TTC,resolved,32,42
Huitfeldt TTC,resolved,33,55
Huitfeldt TTC,resolved,34,38
Huitfeldt TTC,resolved,35,44
Huitfeldt TTC,resolved,36,41
Huitfeldt TTC,outstanding,0,180
Huitfeldt TTC,outstanding,1,123
Huitfeldt TTC,outstanding,2,117
Huitfeldt TTC,outstanding,3,121
Huitfeldt TTC,outstanding,4,112
Huitfeldt TTC,outstanding,5,98
Huitfeldt TTC,outstanding,6,100
Huitfeldt TTC,outstanding,7,104
Huitfeldt TTC,outstanding,8,96
Huitfeldt TTC,outstanding,9,89
Huitfeldt TTC,outstanding,10,95
Huitfeldt TTC,outstanding,11,89
Huitfeldt TTC,outstanding,12,88
Huitfeldt TTC,outstanding,13,69
Huitfeldt TTC,outstanding,14,91
Huitfeldt TTC,outstanding,15,80
Huitfeldt TTC,outstanding,16,81
Huitfeldt TTC,outstanding,17,72
Huitfeldt TTC,outstanding,18,75
Huitfeldt TTC,outstanding,19,72
Huitfeldt TTC,outstanding,20,73
Huitfeldt TTC,outstanding,21,70
Huitfeldt TTC,outstanding,22,73
Huitfeldt TTC,outstanding,23,69
Huitfeldt TTC,outstanding,24,63
Huitfeldt TTC,outstanding,25,59
Huitfeldt TTC,outstanding,26,75
Huitfeldt TTC,outstanding,27,65
Huitfeldt TTC,outstanding,28,67
Huitfeldt TTC,outstanding,29,67
Huitfeldt TTC,outstanding,30,63
Huitfeldt TTC,outstanding,31,57
Huitfeldt TTC,outstanding,32,63
Huitfeldt TTC,outstanding,33,57
Huitfeldt TTC,outstanding,34,55
Huitfeldt TTC,outstanding,35,55
Huitfeldt TTC,outstanding,36,8530
