algorithm,day,waitlist_before,patients_resolved,new_requests,waitlist_after,satisfaction_rate,cycles_found,avg_cycle_length,max_cycle_length,avg_wait_days,max_wait_days,cross_requests_added,cross_resolved,solve_ms
Greedy DFS,1,5000,4039,18,979,0.807800,13,310.6923,2828,1.0000,1,1,484,3.2045
Greedy DFS,2,979,20,18,977,0.020429,6,3.3333,5,1.6500,2,2,0,1.3379
Greedy DFS,3,977,23,18,972,0.023541,5,4.6000,9,2.3478,3,1,3,0.5134
Greedy DFS,4,972,15,18,975,0.015432,5,3.0000,4,2.6000,4,3,0,1.9008
Greedy DFS,5,975,12,18,981,0.012308,3,4.0000,6,3.7500,5,3,0,0.6121
Greedy DFS,6,981,9,18,990,0.009174,1,9.0000,9,4.8889,6,1,4,0.5398
Greedy DFS,7,990,21,18,987,0.021212,4,5.2500,15,4.2381,7,2,2,0.6043
Greedy DFS,8,987,11,18,994,0.011145,5,2.2000,3,4.8182,8,1,0,1.0210
Greedy DFS,9,994,12,18,1000,0.012072,3,4.0000,6,5.5000,9,1,0,0.7158
Greedy DFS,10,1000,15,18,1003,0.015000,3,5.0000,8,6.0667,10,1,0,0.7399
Greedy DFS,11,1003,27,18,994,0.026919,5,5.4000,11,7.1111,11,0,5,0.8374
Greedy DFS,12,994,10,18,1002,0.010060,4,2.5000,4,6.0000,12,3,0,0.3967
Greedy DFS,13,1002,13,18,1007,0.012974,4,3.2500,5,8.2308,13,2,2,1.0400
Greedy DFS,14,1007,18,18,1007,0.017875,4,4.5000,7,8.1111,14,3,3,0.9408
Greedy DFS,15,1007,27,18,998,0.026812,6,4.5000,9,9.5926,15,1,6,0.8321
Greedy DFS,16,998,18,18,998,0.018036,5,3.6000,7,8.9444,16,3,3,0.5690
Greedy DFS,17,998,16,18,1000,0.016032,5,3.2000,5,9.1875,17,1,0,0.8788
Greedy DFS,18,1000,13,18,1005,0.013000,2,6.5000,9,11.3077,18,2,2,0.4502
Greedy DFS,19,1005,23,18,1000,0.022886,7,3.2857,6,8.3478,19,2,3,1.2175
Greedy DFS,20,1000,20,18,998,0.020000,4,5.0000,13,12.5000,20,4,6,0.8320
Greedy DFS,21,998,13,18,1003,0.013026,3,4.3333,5,13.0769,21,1,0,0.5897
