algorithm,num_patients,num_doctors,num_days,total_resolved,avg_daily_satisfaction_rate,avg_waitlist_size,min_waitlist_size,max_waitlist_size,final_waitlist_size,avg_cycles_per_day,avg_cycle_length_overall,resolved_count,resolved_avg_wait,resolved_std_wait,resolved_p50,resolved_p90,resolved_p95,resolved_p99,resolved_max,outstanding_count,outstanding_avg_wait,outstanding_p50,outstanding_p90,outstanding_p95,outstanding_p99,outstanding_max,overall_avg_wait,overall_max_wait,starvation_threshold_days,starved_resolved,starved_outstanding,num_districts,cross_district_prob,cross_added,within_added,cross_resolved_count,cross_resolved_avg,cross_resolved_p90,cross_resolved_p99,cross_resolved_max,within_resolved_count,within_resolved_avg,within_resolved_p90,within_resolved_p99,within_resolved_max,cross_outstanding_count,cross_outstanding_avg,within_outstanding_count,within_outstanding_avg,total_solve_ms,avg_solve_ms,max_solve_ms
Greedy DFS,1000000,1020,36,45145,0.036476,12062.7778,10750,50000,11335,35.6667,20.5144,45145,2.1645,4.7983,1,1,10,29,36,11335,29.6907,36,36,36,36,36,7.6887,36,90,0,0,60,0.1100,6262,50218,5024,2.4570,3,31,36,40121,2.1279,1,29,36,1238,28.8199,10097,29.7975,557.3852,15.4829,55.9901
Huitfeldt TTC,1000000,1020,36,44967,0.035825,12230.3889,10814,50000,11513,246.4722,3.3226,44967,1.9811,4.3009,1,1,7,27,36,11513,30.5057,36,36,36,36,36,7.7956,36,90,0,0,60,0.1100,6281,50199,4771,2.0501,1,28,36,40196,1.9729,1,27,36,1510,30.0106,10003,30.5804,13384.6823,371.7967,4818.9410
