algorithm,num_patients,num_doctors,num_days,total_resolved,avg_daily_satisfaction_rate,avg_waitlist_size,min_waitlist_size,max_waitlist_size,final_waitlist_size,avg_cycles_per_day,avg_cycle_length_overall,resolved_count,resolved_avg_wait,resolved_std_wait,resolved_p50,resolved_p90,resolved_p95,resolved_p99,resolved_max,outstanding_count,outstanding_avg_wait,outstanding_p50,outstanding_p90,outstanding_p95,outstanding_p99,outstanding_max,overall_avg_wait,overall_max_wait,starvation_threshold_days,starved_resolved,starved_outstanding,num_districts,cross_district_prob,cross_added,within_added,cross_resolved_count,cross_resolved_avg,cross_resolved_p90,cross_resolved_p99,cross_resolved_max,within_resolved_count,within_resolved_avg,within_resolved_p90,within_resolved_p99,within_resolved_max,cross_outstanding_count,cross_outstanding_avg,within_outstanding_count,within_outstanding_avg,total_solve_ms,avg_solve_ms,max_solve_ms
Greedy DFS,100000,102,7300,119061,0.002584,9941.5937,972,17340,17339,4.6001,3.7930,119061,392.2648,776.8286,8,1579,2349,3300,4198,17339,1492.0233,1367,2992,3276,3677,4098,532.0648,4198,90,40783,16525,6,0.1100,15137,121263,14040,263.1450,886,3036,4017,105021,409.5265,1658,3317,4198,1097,1356.7858,16242,1501.1574,168389.6003,23.0671,1479.4813
Huitfeldt TTC,100000,102,7300,121490,0.002822,8654.0745,970,14909,14910,5.5442,2.9884,121490,120.4255,434.9768,6,233,575,2315,7228,14910,3255.8178,3134,6416,6924,7300,7300,463.1579,7300,90,21757,14321,6,0.1100,15132,121268,14001,198.4203,497,3153,6980,107489,110.2663,204,2173,7228,1131,2636.9576,13779,3306.6148,237350.9146,32.5138,216.7360
Exact Cardinality,100000,102,7300,122054,0.003107,8254.4751,702,14365,14346,6.4266,3.4357,122054,116.8189,447.8089,5,203,574,2399,7174,14346,3206.4304,3012,6379,6848,7300,7300,441.7718,7300,90,18495,13825,6,0.1100,15150,121250,14602,130.6866,288,2244,6742,107452,114.9344,188,2424,7174,548,1808.1989,13798,3261.9625,29929.1186,4.0999,782.9800
Exact Priority,100000,102,7300,118393,0.002512,10220.4236,1103,18009,18007,6.4574,2.9633,118393,407.4045,781.4524,7,1623,2377,3273,3949,18007,1464.7223,1353,2921,3211,3548,3821,546.9875,3949,90,41435,17213,6,0.1100,14825,121575,13434,314.5322,1170,3204,3722,104959,419.2915,1669,3287,3949,1391,1431.5047,16616,1467.5031,332974.9886,45.6130,159.8936
Util Linear,100000,102,7300,120445,0.002818,9200.9142,702,15951,15955,7.5721,3.0049,120445,222.7354,610.6661,6,625,1336,3225,7118,15955,2528.3176,2061,5646,6372,7171,7300,492.4243,7300,90,32087,15255,6,0.1100,15067,121333,12752,300.0609,991,3807,6275,107693,213.5792,583,3145,7118,2315,2316.8825,13640,2564.2027,241203.6314,33.0416,5945.9340
