iter,best_score
0,39008
1,129111
2,129111
3,129111
4,129111
5,129111
6,129111
7,129111
8,131231
9,131231
10,131231
11,131231
12,131231
13,131231
14,131231
15,131231
16,131231
17,131231
18,131231
19,131231
20,131231
21,131231
22,131231
23,131231
24,131231
25,131231
26,131231
27,131231
28,131231
29,131231
30,131231
31,131231
32,131231
33,131231
34,132024
35,132024
36,132024
37,132024
38,132024
39,132024
40,132024
41,132024
42,132024
43,132024
44,132024
45,132024
46,132024
47,132024
48,132024
49,132024
50,132024
51,132024
52,132024
53,132024
54,132024
55,132024
56,132024
57,132024
58,132024
59,132024
60,132024
61,132024
62,132024
63,132024
64,132024
65,132024
66,132647
67,132647
68,132647
69,132647
70,132647
71,132647
72,132647
73,132647
74,132647
75,132647
76,132647
77,132647
78,132647
79,132647
80,132647
81,132647
82,132647
83,132647
84,132647
85,132647
86,132647
87,132697
88,132697
89,132697
90,132697
91,132697
92,132907
93,132907
94,132907
95,132907
96,132907
97,132907
98,132907
99,133290
100,133290
101,133290
102,133290
103,133321
104,133321
105,133321
106,133321
107,133321
108,133321
109,133321
110,133321
111,133321
112,133321
113,133321
114,133321
115,133321
116,133321
117,133321
118,133321
119,133321
120,133321
121,133321
122,133321
123,133321
124,133321
125,133321
126,133321
127,133321
128,133321
129,133321
130,133321
131,133321
132,133321
133,133321
134,133321
135,133321
136,133321
137,133321
138,133321
139,133321
140,133321
141,133321
142,133321
143,133321
144,133321
145,133321
146,133321
147,133321
148,133321
149,133321
150,133321
151,133324
152,133324
153,133324
154,133324
155,133680
156,133680
157,133680
158,133680
159,133680
160,133680
161,133680
162,133680
163,133680
164,133680
165,133680
166,133680
167,133680
168,133680
169,133680
170,133680
171,133680
172,133680
173,133680
174,133680
175,133680
176,133680
177,133680
178,133680
179,133680
180,133680
181,133680
182,133680
183,133680
184,133680
185,133680
186,133680
187,133680
188,133680
189,133680
190,133680
191,133680
192,133680
193,133680
194,133680
195,133680
196,133680
197,133680
198,133680
199,133680
200,133829
201,133829
202,133829
203,133829
204,133829
205,133829
206,133829
207,133829
208,133829
209,133829
210,133829
211,133829
212,133829
213,133829
214,133829
215,133829
216,133829
217,133829
218,133829
219,133829
220,133829
221,133829
222,133829
223,133829
224,133829
225,133829
226,133829
227,133829
228,133829
229,133829
230,133829
231,133829
232,133829
233,133829
234,133829
235,133829
236,133829
237,133829
238,133829
239,133829
240,133829
241,133829
242,133829
243,133829
244,133829
245,133829
246,133829
247,133829
248,133829
249,133829
250,133829
251,133829
252,133829
253,133829
254,133829
255,133829
256,133829
257,133829
258,133829
259,133829
260,133829
261,133829
262,133829
263,133829
264,133829
265,133829
266,133829
267,133829
268,133829
269,133829
270,133829
271,133829
272,133829
273,133829
274,133829
275,133829
276,133829
277,133829
278,133829
279,133829
280,133829
281,133829
282,133829
283,133829
284,133829
285,133829
286,133829
287,133829
288,133829
289,133829
290,133829
291,133829
292,133829
293,133829
294,133829
295,133829
296,133829
297,133829
298,133829
299,133829
300,133829
301,133829
302,133829
303,133829
304,133829
305,133829
306,133829
307,133829
308,133829
309,133829
310,133829
311,133829
312,133829
313,133829
314,133829
315,133829
316,133829
317,133829
318,133829
319,133895
320,133895
321,133895
322,133895
323,133895
324,133895
325,133895
326,133895
327,133895
328,133895
329,133895
330,133895
331,133895
332,133895
333,133895
334,133895
335,133895
336,133895
337,133895
338,133895
339,133895
340,133895
341,133895
342,133895
343,133895
344,133895
345,133895
346,133895
347,133895
348,133895
349,133895
350,133895
351,133895
352,133895
353,133895
354,133895
355,133895
356,133895
357,133895
358,133895
359,133895
360,133895
361,133895
362,133895
363,133895
364,133895
365,133895
366,133895
367,133895
368,133895
369,133895
370,133895
371,133895
372,133895
373,133895
374,133895
375,133895
376,133895
377,133895
378,133895
379,133895
380,133895
381,133895
382,133958
383,133958
384,133958
385,133958
386,133958
387,133958
388,133958
389,133958
390,133958
391,133958
392,133958
393,133958
394,133958
395,133958
396,133958
397,133958
398,133958
399,133958
400,133958
401,133958
402,133958
403,133958
404,133958
405,133958
406,133958
407,133958
408,133958
409,133958
410,133958
411,133958
412,133958
413,133958
414,133958
415,133958
416,133958
417,133958
418,133958
419,133958
420,133958
421,133958
422,133958
423,133958
424,133958
425,133958
426,133958
427,133958
428,133958
429,133958
430,133958
431,133958
432,133958
433,133958
434,133958
435,133958
436,133958
437,133958
438,133958
439,133958
440,133958
441,133958
442,133958
443,133958
444,133958
445,133958
446,133958
447,133958
448,133958
449,133958
450,133958
451,133958
452,133958
453,133958
454,133958
455,133958
456,133958
457,133958
458,133958
459,133958
460,133958
461,133958
462,133958
463,133958
464,133958
465,133958
466,133958
467,133958
468,133958
469,133958
470,133958
471,133958
472,133958
473,133958
474,133958
475,133958
476,133958
477,133958
