file_name,num_patients,num_doctors,dfs_total_ms,dfs_total_ms,scc_v1_total_ms,scc_v1_total_ms,scc_v2_total_ms,scc_v2_total_ms,cycles_found,patients_reassigned
,,,mean,std,mean,std,mean,std,mean,mean
test_100_patient_10_doctors.txt,100,10,2.53,2.440232229385829,0.29,0.02981423969999719,0.27799999999999997,0.02394437999475729,6.0,71.0
test_1000_patient_100_doctors_3_districts.txt,1000,100,10.881,7.757941379286417,1.53,0.23729962307410252,1.3539999999999999,0.29368161142449634,25.0,684.0
test_10000_patient_1000_doctors_5_districts.txt,10000,1000,54.362,1.7464872681407593,15.593,1.4007620941631893,15.209999999999999,1.3328999295604385,72.0,7017.0
test_50000_patient_1000_doctors_20_districts.txt,50000,1000,319.19,10.064498662791573,383.502,14.774551544237582,300.148,5.086030541263655,58.0,43522.0
test_100000_patient_4000_doctors_10_districts.txt,100000,4000,578.471,5.437187692180559,193.202,6.400220135102996,197.0,6.151373830291892,13.0,60798.0
test_133000_patient_4000_doctors.txt,133000,4000,1469.341,18.001332327235083,237.007,9.287255365403832,220.09099999999998,6.523541045918066,12.0,83101.0
test_133000_patient_4000_doctors_25_districts.txt,133000,4000,796.109,7.940789843166314,551.8489999999999,12.987391706317808,526.208,7.303813007220595,168.0,111793.0
test_133000_patient_4000_doctors_15_districts.txt,133000,4000,813.906,10.683903988919255,545.9649999999999,5.936976877539968,529.5840000000001,8.65697560737389,31.0,112210.0
test_133000_patient_4000_doctors_28_districts.txt,133000,4000,809.174,13.702480878374619,931.396,18.45712039656603,874.7959999999999,10.633713890786725,51.0,111843.0
test_133000_patient_4000_doctors_30_districts.txt,133000,4000,819.0600000000001,12.274727423993314,506.86800000000005,15.236740537996363,492.77799999999996,6.666662999998993,35.0,111700.0
test_150000_patient_2000_doctors_1_districts.txt,150000,2000,1006.551,29.125015002380504,1563.873,70.95265401817065,1386.3120000000001,39.25721923700439,66.0,134791.0
test_150000_patient_2000_doctors_16_districts.txt,150000,2000,979.8620000000001,16.000772064705693,1513.451,26.320555317512234,1430.22,26.34855172068815,307.0,134945.0
test_150000_patient_2000_doctors_2_districts.txt,150000,2000,1080.248,135.90923848902503,1661.1419999999998,252.5549768004319,1452.5310000000002,98.68076379585504,155.0,134760.0
test_150000_patient_2000_doctors_4_districts.txt,150000,2000,1032.753,14.474395055484106,1514.595,44.02806308354808,1449.977,72.49482480379777,314.0,134675.0
test_150000_patient_2000_doctors_8_districts.txt,150000,2000,971.57,11.157840292816477,1627.333,14.932645854711101,1528.609,8.632730287818669,502.0,134781.0
