Priority comparison: PW vs TTC (10000p_150d)
Sorted by priority descending (highest priority number = most important)
Patient ID   PW    TTC    Priority  Verdict
       210    Y      Y        9788   both
      9879    Y      Y        9787   both
      5547    Y      Y        9786   both
      7018    Y      Y        9785   both
      1212    Y      Y        9784   both
      4595    Y      Y        9783   both
      1182    Y      Y        9782   both
      4232    Y      Y        9781   both
      3593    Y      Y        9780   both
      6924    Y      Y        9779   both
      8431    Y      Y        9778   both
      2408    Y      Y        9777   both
       313    Y      Y        9776   both
      5009    Y      Y        9775   both
      5281    Y      Y        9774   both
      6362    Y      Y        9773   both
      8001    Y      Y        9772   both
      1103    Y      Y        9771   both
      4950    Y      Y        9770   both
      6511    Y      Y        9769   both
       309    Y      Y        9768   both
      3500    Y      Y        9767   both
      6296    Y      Y        9766   both
       681    Y      Y        9765   both
      6426    Y      Y        9764   both
      8276    Y      Y        9763   both
      5225    Y      Y        9762   both
      5794    Y      Y        9761   both
      4503    Y      Y        9760   both
      6513    Y      Y        9759   both
      8019    Y      Y        9758   both
      8916    Y      Y        9757   both
      8274    Y      Y        9756   both
      4269    Y      Y        9755   both
      4519    Y      Y        9754   both
      1649    Y      Y        9753   both
      7328    Y      Y        9752   both
      8775    Y      Y        9751   both
      7968    Y      Y        9750   both
      6789    Y      Y        9749   both
       245    Y      Y        9748   both
      6578    Y      Y        9747   both
      4750    Y      Y        9746   both
      8878    Y      Y        9745   both
      9588    Y      Y        9744   both
      2068    Y      Y        9743   both
      2834    N      N        9742  neither
      4495    Y      Y        9741   both
      3937    Y      Y        9740   both
      1400    Y      Y        9739   both
      5060    Y      Y        9737   both
      5066    Y      Y        9736   both
      1675    Y      Y        9735   both
      9788    Y      Y        9734   both
      9119    Y      Y        9733   both
      5978    Y      Y        9732   both
      4261    Y      Y        9731   both
      6935    Y      Y        9730   both
       113    Y      Y        9729   both
      5240    Y      Y        9728   both
       962    Y      Y        9727   both
      1853    Y      Y        9726   both
      9456    Y      Y        9725   both
      6974    Y      Y        9724   both
      3173    Y      Y        9723   both
      1609    Y      Y        9722   both
      7275    Y      Y        9721   both
      7891    Y      Y        9720   both
      5235    Y      Y        9719   both
      6711    Y      Y        9718   both
      9598    Y      Y        9717   both
      2231    Y      Y        9716   both
      1897    Y      Y        9715   both
       346    Y      Y        9714   both
       624    Y      Y        9713   both
      1323    Y      Y        9712   both
       608    Y      Y        9711   both
       236    Y      Y        9710   both
      8266    Y      Y        9709   both
      6103    Y      Y        9708   both
      3726    Y      Y        9707   both
      2110    Y      Y        9706   both
      2988    Y      Y        9705   both
      4779    Y      Y        9704   both
      3416    Y      N        9703  PW only
      4386    Y      N        9701  PW only
      9398    Y      Y        9700   both
       365    Y      Y        9699   both
      7109    Y      Y        9698   both
      6075    Y      Y        9697   both
      1401    Y      Y        9696   both
      2805    Y      Y        9695   both
      2630    Y      Y        9694   both
      1112    Y      Y        9693   both
       762    Y      Y        9692   both
      2972    Y      Y        9691   both
      7867    Y      Y        9690   both
      4764    Y      Y        9689   both
      1169    Y      Y        9688   both
      3777    Y      Y        9687   both
      2675    Y      Y        9686   both
      1466    Y      Y        9685   both
      7465    Y      Y        9684   both
      5932    Y      Y        9683   both
      8098    Y      Y        9682   both
      6051    Y      Y        9681   both
      8169    Y      Y        9680   both
       827    Y      Y        9679   both
      2433    Y      Y        9678   both
      6989    Y      Y        9677   both
      6896    Y      Y        9676   both
      2177    Y      Y        9675   both
      6494    Y      Y        9674   both
      5139    Y      Y        9673   both
      8698    Y      Y        9672   both
      8560    Y      Y        9671   both
      5230    Y      Y        9670   both
      8547    Y      Y        9669   both
       288    Y      Y        9667   both
      2593    Y      Y        9666   both
      2887    Y      Y        9665   both
      1315    Y      Y        9664   both
      8017    Y      Y        9663   both
      5190    Y      Y        9662   both
      6476    Y      Y        9661   both
      1627    Y      Y        9660   both
      7221    Y      Y        9659   both
      9546    Y      Y        9658   both
      9345    Y      Y        9657   both
      6335    Y      Y        9656   both
      8923    Y      Y        9655   both
      4636    Y      Y        9654   both
      4531    Y      Y        9653   both
      3757    Y      Y        9652   both
      6239    Y      Y        9651   both
      3027    Y      Y        9650   both
      6558    Y      Y        9649   both
      1615    Y      Y        9648   both
      2198    Y      Y        9647   both
      2477    Y      Y        9646   both
      1843    Y      Y        9645   both
      5732    Y      Y        9644   both
      3624    Y      Y        9643   both
      1441    Y      Y        9642   both
      5180    Y      Y        9641   both
      2881    Y      Y        9640   both
      1895    Y      Y        9639   both
      2132    Y      Y        9638   both
      3098    Y      Y        9637   both
       952    Y      Y        9636   both
      4080    Y      Y        9635   both
      7904    Y      Y        9634   both
      8175    Y      Y        9633   both
      4157    Y      Y        9632   both
       584    Y      Y        9631   both
      6969    Y      Y        9630   both
      2331    Y      Y        9629   both
      5579    Y      Y        9628   both
       109    Y      Y        9627   both
      2799    Y      Y        9626   both
      6346    Y      Y        9625   both
       607    Y      Y        9624   both
      8064    Y      Y        9623   both
      8051    Y      Y        9622   both
       260    Y      Y        9621   both
      6502    Y      Y        9620   both
      9645    Y      Y        9619   both
      6466    Y      Y        9618   both
      1952    Y      Y        9617   both
      5968    Y      Y        9616   both
      5212    Y      Y        9615   both
      2659    Y      Y        9614   both
      7252    Y      Y        9613   both
      1773    Y      Y        9612   both
       323    Y      Y        9611   both
      5055    Y      Y        9610   both
      3497    Y      Y        9609   both
      7559    Y      Y        9608   both
      9864    Y      Y        9607   both
      1018    Y      Y        9606   both
      9150    Y      Y        9605   both
      4234    Y      Y        9604   both
      5569    Y      Y        9603   both
      2439    Y      Y        9602   both
      9356    Y      Y        9601   both
      9080    Y      Y        9600   both
