algorithm,day,waitlist_before,patients_resolved,new_requests,waitlist_after,satisfaction_rate,cycles_found,avg_cycle_length,max_cycle_length
True TTC,1,30000,16941,1000,14059,0.564700,4969,3.4093,10
True TTC,2,14059,713,1000,14346,0.050715,215,3.3163,8
True TTC,3,14346,547,1000,14799,0.038129,157,3.4841,8
True TTC,4,14799,623,1000,15176,0.042097,189,3.2963,7
True TTC,5,15176,912,1000,15264,0.060095,282,3.2340,7
True TTC,6,15264,777,1000,15487,0.050904,227,3.4229,9
True TTC,7,15487,738,1000,15749,0.047653,223,3.3094,7
True TTC,8,15749,646,1000,16103,0.041018,194,3.3299,8
True TTC,9,16103,707,1000,16396,0.043905,217,3.2581,8
True TTC,10,16396,538,1000,16858,0.032813,160,3.3625,7
True TTC,11,16858,699,1000,17159,0.041464,203,3.4433,8
True TTC,12,17159,528,1000,17631,0.030771,159,3.3208,7
True TTC,13,17631,768,1000,17863,0.043560,227,3.3833,8
True TTC,14,17863,651,1000,18212,0.036444,196,3.3214,8
True TTC,15,18212,900,1000,18312,0.049418,269,3.3457,8
True TTC,16,18312,711,1000,18601,0.038827,214,3.3224,9
True TTC,17,18601,597,1000,19004,0.032095,177,3.3729,8
True TTC,18,19004,604,1000,19400,0.031783,185,3.2649,8
True TTC,19,19400,627,1000,19773,0.032320,183,3.4262,9
True TTC,20,19773,689,1000,20084,0.034845,207,3.3285,8
True TTC,21,20084,901,1000,20183,0.044862,265,3.4000,9
True TTC,22,20183,530,1000,20653,0.026260,157,3.3758,7
True TTC,23,20653,694,1000,20959,0.033603,216,3.2130,9
True TTC,24,20959,750,1000,21209,0.035784,222,3.3784,7
True TTC,25,21209,798,1000,21411,0.037626,243,3.2840,7
True TTC,26,21411,552,1000,21859,0.025781,160,3.4500,8
True TTC,27,21859,660,1000,22199,0.030194,194,3.4021,8
True TTC,28,22199,778,1000,22421,0.035047,220,3.5364,10
True TTC,29,22421,621,1000,22800,0.027697,175,3.5486,8
True TTC,30,22800,636,1000,23164,0.027895,193,3.2953,9
True TTC,31,23164,752,1000,23412,0.032464,219,3.4338,8
True TTC,32,23412,727,1000,23685,0.031052,208,3.4952,9
True TTC,33,23685,620,1000,24065,0.026177,187,3.3155,8
True TTC,34,24065,678,1000,24387,0.028174,203,3.3399,7
True TTC,35,24387,594,1000,24793,0.024357,179,3.3184,7
True TTC,36,24793,835,1000,24958,0.033679,240,3.4792,9
True TTC,37,24958,536,1000,25422,0.021476,160,3.3500,8
True TTC,38,25422,759,1000,25663,0.029856,232,3.2716,8
True TTC,39,25663,960,1000,25703,0.037408,289,3.3218,10
True TTC,40,25703,669,1000,26034,0.026028,192,3.4844,8
True TTC,41,26034,987,1000,26047,0.037912,299,3.3010,8
True TTC,42,26047,898,1000,26149,0.034476,260,3.4538,7
True TTC,43,26149,818,1000,26331,0.031282,243,3.3663,8
True TTC,44,26331,675,1000,26656,0.025635,205,3.2927,8
True TTC,45,26656,743,1000,26913,0.027874,215,3.4558,9
True TTC,46,26913,786,1000,27127,0.029205,213,3.6901,9
True TTC,47,27127,784,1000,27343,0.028901,221,3.5475,8
True TTC,48,27343,588,1000,27755,0.021505,173,3.3988,8
True TTC,49,27755,811,1000,27944,0.029220,245,3.3102,9
True TTC,50,27944,761,1000,28183,0.027233,228,3.3377,8
True TTC,51,28183,831,1000,28352,0.029486,250,3.3240,9
True TTC,52,28352,798,1000,28554,0.028146,241,3.3112,8
True TTC,53,28554,774,1000,28780,0.027107,247,3.1336,7
True TTC,54,28780,756,1000,29024,0.026268,218,3.4679,8
True TTC,55,29024,850,1000,29174,0.029286,254,3.3465,7
True TTC,56,29174,776,1000,29398,0.026599,226,3.4336,8
True TTC,57,29398,713,1000,29685,0.024253,219,3.2557,7
True TTC,58,29685,868,1000,29817,0.029240,256,3.3906,8
True TTC,59,29817,777,1000,30040,0.026059,229,3.3930,8
True TTC,60,30040,604,1000,30436,0.020107,183,3.3005,7
True TTC,61,30436,768,1000,30668,0.025233,232,3.3103,7
True TTC,62,30668,682,1000,30986,0.022238,192,3.5521,9
True TTC,63,30986,915,1000,31071,0.029529,258,3.5465,8
True TTC,64,31071,667,1000,31404,0.021467,190,3.5105,8
True TTC,65,31404,734,1000,31670,0.023373,226,3.2478,9
