algorithm,kind,wait_days,count
Exact Cardinality,resolved,1,5448
Exact Cardinality,resolved,2,460
Exact Cardinality,resolved,3,218
Exact Cardinality,resolved,4,116
Exact Cardinality,resolved,5,80
Exact Cardinality,resolved,6,63
Exact Cardinality,resolved,7,46
Exact Cardinality,resolved,8,33
Exact Cardinality,resolved,9,38
Exact Cardinality,resolved,10,34
Exact Cardinality,resolved,11,29
Exact Cardinality,resolved,12,23
Exact Cardinality,resolved,13,16
Exact Cardinality,resolved,14,12
Exact Cardinality,resolved,15,11
Exact Cardinality,resolved,16,13
Exact Cardinality,resolved,17,11
Exact Cardinality,resolved,18,17
Exact Cardinality,resolved,19,9
Exact Cardinality,resolved,20,4
Exact Cardinality,resolved,21,8
Exact Cardinality,resolved,22,9
Exact Cardinality,resolved,23,7
Exact Cardinality,resolved,24,7
Exact Cardinality,resolved,25,2
Exact Cardinality,resolved,26,5
Exact Cardinality,resolved,27,8
Exact Cardinality,resolved,28,3
Exact Cardinality,resolved,29,3
Exact Cardinality,resolved,31,1
Exact Cardinality,resolved,32,4
Exact Cardinality,resolved,33,3
Exact Cardinality,resolved,38,1
Exact Cardinality,outstanding,0,178
Exact Cardinality,outstanding,1,40
Exact Cardinality,outstanding,2,36
Exact Cardinality,outstanding,3,26
Exact Cardinality,outstanding,4,25
Exact Cardinality,outstanding,5,14
Exact Cardinality,outstanding,6,18
Exact Cardinality,outstanding,7,23
Exact Cardinality,outstanding,8,14
Exact Cardinality,outstanding,9,18
Exact Cardinality,outstanding,10,20
Exact Cardinality,outstanding,11,16
Exact Cardinality,outstanding,12,24
Exact Cardinality,outstanding,13,18
Exact Cardinality,outstanding,14,21
Exact Cardinality,outstanding,15,11
Exact Cardinality,outstanding,16,20
Exact Cardinality,outstanding,17,14
Exact Cardinality,outstanding,18,11
Exact Cardinality,outstanding,19,10
Exact Cardinality,outstanding,20,9
Exact Cardinality,outstanding,21,12
Exact Cardinality,outstanding,22,13
Exact Cardinality,outstanding,23,14
Exact Cardinality,outstanding,24,7
Exact Cardinality,outstanding,25,11
Exact Cardinality,outstanding,26,10
Exact Cardinality,outstanding,27,19
Exact Cardinality,outstanding,28,11
Exact Cardinality,outstanding,29,15
Exact Cardinality,outstanding,30,10
Exact Cardinality,outstanding,31,11
Exact Cardinality,outstanding,32,11
Exact Cardinality,outstanding,33,6
Exact Cardinality,outstanding,34,7
Exact Cardinality,outstanding,35,11
Exact Cardinality,outstanding,36,11
Exact Cardinality,outstanding,37,9
Exact Cardinality,outstanding,38,5
Exact Cardinality,outstanding,39,8
Exact Cardinality,outstanding,40,11
Exact Priority,resolved,1,3456
Exact Priority,resolved,2,290
Exact Priority,resolved,3,294
Exact Priority,resolved,4,251
Exact Priority,resolved,5,171
Exact Priority,resolved,6,248
Exact Priority,resolved,7,202
Exact Priority,resolved,8,240
Exact Priority,resolved,9,245
Exact Priority,resolved,10,271
Exact Priority,resolved,11,255
Exact Priority,resolved,12,303
Exact Priority,resolved,13,207
Exact Priority,resolved,14,3
Exact Priority,outstanding,0,178
Exact Priority,outstanding,1,102
Exact Priority,outstanding,2,86
Exact Priority,outstanding,3,73
Exact Priority,outstanding,4,79
Exact Priority,outstanding,5,88
Exact Priority,outstanding,6,80
Exact Priority,outstanding,7,75
Exact Priority,outstanding,8,77
Exact Priority,outstanding,9,66
Exact Priority,outstanding,10,76
Exact Priority,outstanding,11,62
Exact Priority,outstanding,12,40
Exact Priority,outstanding,13,2
Util Linear,resolved,1,4347
Util Linear,resolved,2,590
Util Linear,resolved,3,347
Util Linear,resolved,4,233
Util Linear,resolved,5,191
Util Linear,resolved,6,153
Util Linear,resolved,7,110
Util Linear,resolved,8,110
Util Linear,resolved,9,69
Util Linear,resolved,10,60
Util Linear,resolved,11,55
Util Linear,resolved,12,55
Util Linear,resolved,13,36
Util Linear,resolved,14,33
Util Linear,resolved,15,25
Util Linear,resolved,16,23
Util Linear,resolved,17,12
Util Linear,resolved,18,19
Util Linear,resolved,19,26
Util Linear,resolved,20,14
Util Linear,resolved,21,10
Util Linear,resolved,22,11
Util Linear,resolved,23,12
Util Linear,resolved,24,6
Util Linear,resolved,25,6
Util Linear,resolved,26,4
Util Linear,resolved,27,9
Util Linear,resolved,28,3
Util Linear,resolved,29,2
Util Linear,resolved,31,1
Util Linear,resolved,32,1
Util Linear,resolved,33,2
Util Linear,resolved,34,1
Util Linear,resolved,35,1
Util Linear,resolved,36,3
Util Linear,resolved,38,1
Util Linear,outstanding,0,178
Util Linear,outstanding,1,70
Util Linear,outstanding,2,71
Util Linear,outstanding,3,51
Util Linear,outstanding,4,48
Util Linear,outstanding,5,55
Util Linear,outstanding,6,39
Util Linear,outstanding,7,34
Util Linear,outstanding,8,34
Util Linear,outstanding,9,29
Util Linear,outstanding,10,27
Util Linear,outstanding,11,20
Util Linear,outstanding,12,25
Util Linear,outstanding,13,31
Util Linear,outstanding,14,21
Util Linear,outstanding,15,19
Util Linear,outstanding,16,18
Util Linear,outstanding,17,21
Util Linear,outstanding,18,17
Util Linear,outstanding,19,17
Util Linear,outstanding,20,8
Util Linear,outstanding,21,14
Util Linear,outstanding,22,14
Util Linear,outstanding,23,16
Util Linear,outstanding,24,11
Util Linear,outstanding,25,10
Util Linear,outstanding,26,7
Util Linear,outstanding,27,2
Util Linear,outstanding,28,5
Util Linear,outstanding,29,3
Util Linear,outstanding,30,6
Util Linear,outstanding,31,4
Util Linear,outstanding,32,3
Util Linear,outstanding,33,2
Util Linear,outstanding,34,2
Util Linear,outstanding,35,4
Util Linear,outstanding,36,1
Util Linear,outstanding,37,1
Util Linear,outstanding,40,1
Util Exp 1.1,resolved,1,5473
Util Exp 1.1,resolved,2,459
Util Exp 1.1,resolved,3,198
Util Exp 1.1,resolved,4,131
Util Exp 1.1,resolved,5,93
Util Exp 1.1,resolved,6,62
Util Exp 1.1,resolved,7,41
Util Exp 1.1,resolved,8,40
Util Exp 1.1,resolved,9,38
Util Exp 1.1,resolved,10,46
Util Exp 1.1,resolved,11,37
Util Exp 1.1,resolved,12,28
Util Exp 1.1,resolved,13,18
Util Exp 1.1,resolved,14,19
Util Exp 1.1,resolved,15,13
Util Exp 1.1,resolved,16,10
Util Exp 1.1,resolved,17,13
Util Exp 1.1,resolved,18,10
Util Exp 1.1,resolved,19,5
Util Exp 1.1,resolved,20,9
Util Exp 1.1,resolved,21,11
Util Exp 1.1,resolved,22,6
Util Exp 1.1,resolved,23,5
Util Exp 1.1,resolved,24,8
Util Exp 1.1,resolved,25,2
Util Exp 1.1,resolved,26,1
Util Exp 1.1,resolved,27,6
Util Exp 1.1,resolved,28,3
Util Exp 1.1,resolved,29,2
Util Exp 1.1,resolved,30,2
Util Exp 1.1,resolved,32,1
Util Exp 1.1,resolved,33,1
Util Exp 1.1,resolved,34,1
Util Exp 1.1,resolved,36,1
Util Exp 1.1,outstanding,0,178
Util Exp 1.1,outstanding,1,43
Util Exp 1.1,outstanding,2,40
Util Exp 1.1,outstanding,3,23
Util Exp 1.1,outstanding,4,27
Util Exp 1.1,outstanding,5,23
Util Exp 1.1,outstanding,6,19
Util Exp 1.1,outstanding,7,24
Util Exp 1.1,outstanding,8,19
Util Exp 1.1,outstanding,9,24
Util Exp 1.1,outstanding,10,13
Util Exp 1.1,outstanding,11,17
Util Exp 1.1,outstanding,12,14
Util Exp 1.1,outstanding,13,13
Util Exp 1.1,outstanding,14,13
Util Exp 1.1,outstanding,15,21
Util Exp 1.1,outstanding,16,22
Util Exp 1.1,outstanding,17,19
Util Exp 1.1,outstanding,18,12
Util Exp 1.1,outstanding,19,6
Util Exp 1.1,outstanding,20,13
Util Exp 1.1,outstanding,21,9
Util Exp 1.1,outstanding,22,10
Util Exp 1.1,outstanding,23,9
Util Exp 1.1,outstanding,24,6
Util Exp 1.1,outstanding,25,12
Util Exp 1.1,outstanding,26,7
Util Exp 1.1,outstanding,27,7
Util Exp 1.1,outstanding,28,12
Util Exp 1.1,outstanding,29,9
Util Exp 1.1,outstanding,30,11
Util Exp 1.1,outstanding,31,9
Util Exp 1.1,outstanding,32,9
Util Exp 1.1,outstanding,33,8
Util Exp 1.1,outstanding,34,3
Util Exp 1.1,outstanding,35,4
Util Exp 1.1,outstanding,36,7
Util Exp 1.1,outstanding,38,4
Util Exp 1.1,outstanding,39,3
Util Exp 1.1,outstanding,40,5
Util Exp 1.5,resolved,1,5360
Util Exp 1.5,resolved,2,450
Util Exp 1.5,resolved,3,195
Util Exp 1.5,resolved,4,132
Util Exp 1.5,resolved,5,92
Util Exp 1.5,resolved,6,64
Util Exp 1.5,resolved,7,48
Util Exp 1.5,resolved,8,49
Util Exp 1.5,resolved,9,37
Util Exp 1.5,resolved,10,43
Util Exp 1.5,resolved,11,38
Util Exp 1.5,resolved,12,20
Util Exp 1.5,resolved,13,24
Util Exp 1.5,resolved,14,14
Util Exp 1.5,resolved,15,16
Util Exp 1.5,resolved,16,19
Util Exp 1.5,resolved,17,7
Util Exp 1.5,resolved,18,10
Util Exp 1.5,resolved,19,9
Util Exp 1.5,resolved,20,12
Util Exp 1.5,resolved,21,9
Util Exp 1.5,resolved,22,6
Util Exp 1.5,resolved,23,8
Util Exp 1.5,resolved,24,6
