Lex comparison: SP vs True — sorted by priority descending
 PatientID     SP   True    Priority     Verdict
       924      Y      Y         745        both
       429      Y      Y         744        both
        88      Y      Y         743        both
        40      Y      N         741      A only
       439      Y      Y         740        both
       795      N      N         739     neither
       495      Y      Y         738        both
       559      Y      Y         737        both
       493      Y      N         736      A only
       458      Y      N         735      A only
       111      Y      Y         734        both
        81      Y      Y         733        both
       635      Y      Y         732        both
       341      Y      Y         731        both
       796      N      N         730     neither
       817      Y      N         729      A only
       702      Y      Y         728        both
       609      Y      Y         727        both
       586      Y      Y         726        both
       696      Y      Y         725        both
       175      N      N         724     neither
       927      Y      N         723      A only
       209      N      N         722     neither
       496      Y      Y         720        both
       900      N      N         719     neither
       798      Y      Y         718        both
       384      N      N         717     neither
       235      Y      Y         716        both
       597      Y      N         715      A only
       870      Y      Y         714        both
       394      Y      Y         713        both
       245      Y      N         712      A only
       630      Y      Y         711        both
       803      Y      N         710      A only
       146      Y      Y         709        both
       601      Y      N         708      A only
       910      N      N         707     neither
       687      Y      Y         706        both
       541      Y      Y         705        both
       328      N      N         704     neither
       322      Y      Y         703        both
       286      Y      Y         702        both
       462      Y      Y         701        both
        26      N      N         700     neither
       401      Y      Y         699        both
       525      Y      N         698      A only
       203      N      N         697     neither
       909      Y      N         696      A only
       751      Y      N         695      A only
       874      Y      Y         694        both
       500      Y      Y         693        both
       535      Y      Y         692        both
       442      Y      N         691      A only
       701      Y      Y         690        both
       356      Y      Y         689        both
       661      Y      Y         688        both
       827      Y      N         687      A only
        16      Y      Y         686        both
       959      Y      Y         685        both
       717      Y      Y         684        both
       187      Y      N         683      A only
        50      Y      Y         682        both
         9      Y      Y         681        both
       659      Y      Y         680        both
       883      Y      Y         679        both
        75      Y      Y         678        both
       825      Y      Y         677        both
       957      Y      Y         676        both
       411      Y      Y         675        both
        68      Y      N         674      A only
       212      Y      Y         673        both
       148      Y      N         672      A only
       629      Y      Y         671        both
       636      Y      Y         670        both
       670      Y      Y         669        both
       931      Y      Y         668        both
       813      Y      Y         666        both
       391      Y      Y         665        both
       323      Y      Y         664        both
       790      Y      Y         663        both
       350      Y      Y         662        both
       626      Y      Y         661        both
       644      Y      Y         660        both
       952      Y      Y         659        both
       516      Y      Y         658        both
       119      Y      Y         657        both
       170      Y      Y         656        both
       615      Y      N         655      A only
       321      Y      Y         654        both
       971      Y      N         653      A only
       194      Y      Y         652        both
       742      Y      Y         651        both
       779      Y      Y         650        both
        91      Y      Y         649        both
       943      Y      Y         648        both
        37      Y      N         647      A only
       955      N      N         646     neither
       808      Y      N         645      A only
       229      N      N         644     neither
       534      Y      Y         643        both
       293      Y      Y         642        both
       363      N      N         641     neither
       865      Y      Y         640        both
       316      N      N         639     neither
       749      Y      Y         638        both
        23      Y      N         637      A only
       719      Y      Y         636        both
       684      Y      Y         635        both
       184      Y      N         634      A only
       254      Y      N         633      A only
       383      Y      Y         632        both
       721      Y      Y         631        both
       887      Y      Y         630        both
       648      N      N         629     neither
       204      Y      N         628      A only
       864      Y      Y         627        both
       805      Y      Y         626        both
       491      Y      N         625      A only
       908      N      N         624     neither
       839      Y      Y         622        both
       505      Y      Y         621        both
       376      Y      N         620      A only
       777      Y      Y         619        both
       377      Y      Y         618        both
       860      Y      Y         617        both
       409      Y      Y         616        both
       117      N      N         614     neither
       809      Y      Y         613        both
        71      Y      N         612      A only
       467      Y      N         611      A only
       914      Y      Y         610        both
       339      N      N         609     neither
       577      Y      N         608      A only
       238      N      N         607     neither
       169      Y      N         606      A only
       457      N      N         605     neither
       703      Y      N         604      A only
       517      Y      Y         603        both
       426      N      N         602     neither
       161      N      N         601     neither
       821      N      N         600     neither
       632      Y      Y         599        both
       107      Y      Y         598        both
       625      N      N         597     neither
       421      Y      Y         596        both
       605      N      N         595     neither
       654      Y      Y         594        both
       851      Y      Y         593        both
       485      Y      Y         592        both
       294      Y      Y         591        both
       503      N      N         590     neither
       379      Y      Y         589        both
       852      Y      Y         588        both
       201      Y      Y         587        both
       482      N      N         586     neither
       575      N      N         585     neither
       437      Y      Y         584        both
       970      Y      Y         583        both
       730      N      N         582     neither
       975      N      N         581     neither
        62      Y      Y         580        both
       327      Y      Y         579        both
        93      N      N         578     neither
       568      N      N         577     neither
       578      Y      N         576      A only
       434      Y      Y         575        both
         1      Y      Y         574        both
       832      Y      N         573      A only
       530      N      N         572     neither
       466      Y      Y         571        both
         3      N      N         570     neither
       417      N      N         569     neither
       489      Y      Y         568        both
       372      Y      Y         567        both
       873      Y      Y         566        both
       248      Y      Y         565        both
       504      Y      Y         564        both
       325      Y      Y         562        both
        59      Y      Y         561        both
       320      Y      Y         560        both
       563      N      N         559     neither
       784      Y      Y         558        both
       732      Y      Y         557        both
       750      N      N         556     neither
       455      Y      N         555      A only
       134      Y      Y         554        both
       109      Y      Y         553        both
       994      N      N         552     neither
       983      N      N         551     neither
       416      Y      Y         550        both
       694      Y      Y         549        both
       879      Y      N         548      A only
