algorithm,day,waitlist_before,patients_resolved,new_requests,waitlist_after,satisfaction_rate,cycles_found,avg_cycle_length,max_cycle_length,avg_wait_days,max_wait_days
Greedy DFS,39,12128,877,1000,12251,0.072312,22,39.8636,153,8.9339,39
Greedy DFS,40,12251,796,1000,12455,0.064974,33,24.1212,116,9.5704,40
Greedy DFS,41,12455,864,1000,12591,0.069370,18,48.0000,166,9.3669,41
Greedy DFS,42,12591,820,1000,12771,0.065126,20,41.0000,131,9.7866,42
Greedy DFS,43,12771,870,1000,12901,0.068123,18,48.3333,216,9.9230,43
Greedy DFS,44,12901,809,1000,13092,0.062708,14,57.7857,177,10.4586,43
Greedy DFS,45,13092,870,1000,13222,0.066453,15,58.0000,205,10.4839,44
Greedy DFS,46,13222,886,1000,13336,0.067010,15,59.0667,200,10.4345,44
Greedy DFS,47,13336,845,1000,13491,0.063362,14,60.3571,221,10.3870,45
Greedy DFS,48,13491,935,1000,13556,0.069305,13,71.9231,220,10.1658,45
Greedy DFS,49,13556,893,1000,13663,0.065875,15,59.5333,140,10.1086,46
Greedy DFS,50,13663,869,1000,13794,0.063602,15,57.9333,130,11.2808,46
Huitfeldt TTC,1,30000,24581,1000,6419,0.819367,7631,3.2212,9,1.0000,1
Huitfeldt TTC,2,6419,875,1000,6544,0.136314,291,3.0069,7,1.0880,2
Huitfeldt TTC,3,6544,864,1000,6680,0.132029,276,3.1304,8,1.1111,3
Huitfeldt TTC,4,6680,828,1000,6852,0.123952,262,3.1603,8,1.1437,4
Huitfeldt TTC,5,6852,805,1000,7047,0.117484,256,3.1445,9,1.1429,5
Huitfeldt TTC,6,7047,815,1000,7232,0.115652,259,3.1467,9,1.2147,6
Huitfeldt TTC,7,7232,826,1000,7406,0.114215,267,3.0936,8,1.1901,7
Huitfeldt TTC,8,7406,809,1000,7597,0.109236,252,3.2103,9,1.2410,8
Huitfeldt TTC,9,7597,871,1000,7726,0.114651,282,3.0887,7,1.2939,9
Huitfeldt TTC,10,7726,834,1000,7892,0.107947,270,3.0889,8,1.2926,10
Huitfeldt TTC,11,7892,829,1000,8063,0.105043,256,3.2383,8,1.1858,11
Huitfeldt TTC,12,8063,846,1000,8217,0.104924,262,3.2290,9,1.3664,12
Huitfeldt TTC,13,8217,835,1000,8382,0.101619,266,3.1391,9,1.2778,13
Huitfeldt TTC,14,8382,845,1000,8537,0.100811,271,3.1181,8,1.4509,14
Huitfeldt TTC,15,8537,854,1000,8683,0.100035,267,3.1985,8,1.4087,15
Huitfeldt TTC,16,8683,867,1000,8816,0.099850,273,3.1758,9,1.5190,16
Huitfeldt TTC,17,8816,832,1000,8984,0.094374,264,3.1515,7,1.5108,17
Huitfeldt TTC,18,8984,804,1000,9180,0.089492,260,3.0923,9,1.1716,18
Huitfeldt TTC,19,9180,869,1000,9311,0.094662,281,3.0925,7,1.4960,19
Huitfeldt TTC,20,9311,833,1000,9478,0.089464,268,3.1082,7,1.4094,20
Huitfeldt TTC,21,9478,858,1000,9620,0.090525,268,3.2015,9,1.4767,21
Huitfeldt TTC,22,9620,872,1000,9748,0.090644,282,3.0922,7,1.4014,22
Huitfeldt TTC,23,9748,839,1000,9909,0.086069,265,3.1660,7,1.5066,23
Huitfeldt TTC,24,9909,850,1000,10059,0.085781,280,3.0357,7,1.8035,24
Huitfeldt TTC,25,10059,872,1000,10187,0.086689,277,3.1480,8,1.6491,25
Huitfeldt TTC,26,10187,833,1000,10354,0.081771,259,3.2162,7,1.3661,26
Huitfeldt TTC,27,10354,839,1000,10515,0.081031,256,3.2773,9,1.4493,27
Huitfeldt TTC,28,10515,884,1000,10631,0.084070,286,3.0909,8,1.8676,28
Huitfeldt TTC,29,10631,854,1000,10777,0.080331,257,3.3230,8,1.2190,29
Huitfeldt TTC,30,10777,832,1000,10945,0.077201,271,3.0701,7,1.6947,30
Huitfeldt TTC,31,10945,836,1000,11109,0.076382,258,3.2403,8,1.2189,21
Huitfeldt TTC,32,11109,860,1000,11249,0.077415,272,3.1618,7,1.8605,32
Huitfeldt TTC,33,11249,868,1000,11381,0.077162,265,3.2755,8,1.4954,33
Huitfeldt TTC,34,11381,833,1000,11548,0.073192,269,3.0967,8,1.2161,26
Huitfeldt TTC,35,11548,870,1000,11678,0.075338,263,3.3080,9,1.3379,35
Huitfeldt TTC,36,11678,872,1000,11806,0.074670,284,3.0704,7,1.8475,36
Huitfeldt TTC,37,11806,808,1000,11998,0.068440,251,3.2191,7,1.4926,37
Huitfeldt TTC,38,11998,892,1000,12106,0.074346,284,3.1408,9,1.7657,38
Huitfeldt TTC,39,12106,854,1000,12252,0.070544,269,3.1747,8,1.2927,20
Huitfeldt TTC,40,12252,825,1000,12427,0.067336,269,3.0669,8,1.3406,40
Huitfeldt TTC,41,12427,919,1000,12508,0.073952,296,3.1047,8,1.7138,41
Huitfeldt TTC,42,12508,888,1000,12620,0.070995,274,3.2409,8,1.6667,42
Huitfeldt TTC,43,12620,838,1000,12782,0.066403,269,3.1152,8,1.8174,43
Huitfeldt TTC,44,12782,853,1000,12929,0.066734,267,3.1948,8,1.7995,44
Huitfeldt TTC,45,12929,872,1000,13057,0.067445,278,3.1367,8,1.2305,34
Huitfeldt TTC,46,13057,849,1000,13208,0.065023,266,3.1917,7,1.5418,46
Huitfeldt TTC,47,13208,876,1000,13332,0.066323,283,3.0954,8,1.9075,47
Huitfeldt TTC,48,13332,890,1000,13442,0.066757,287,3.1010,8,2.0798,48
Huitfeldt TTC,49,13442,881,1000,13561,0.065541,277,3.1805,8,2.1646,49
Huitfeldt TTC,50,13561,848,1000,13713,0.062532,254,3.3386,7,1.5012,50
Exact Cardinality,1,30000,25846,1000,5154,0.861533,13242,2.1240,6,1.0000,1
Exact Cardinality,2,5154,890,1000,5264,0.172681,468,2.2479,6,1.0618,2
Exact Cardinality,3,5264,842,1000,5422,0.159954,442,2.1991,4,1.0879,3
Exact Cardinality,4,5422,881,1000,5541,0.162486,456,2.2259,6,1.1691,4
Exact Cardinality,5,5541,887,1000,5654,0.160079,466,2.2425,5,1.1747,5
Exact Cardinality,6,5654,896,1000,5758,0.158472,473,2.2537,5,1.2712,6
Exact Cardinality,7,5758,899,1000,5859,0.156131,472,2.3242,6,1.3760,7
Exact Cardinality,8,5859,902,1000,5957,0.153951,483,2.3644,6,1.1840,8
Exact Cardinality,9,5957,862,1000,6095,0.144704,457,2.2845,6,1.2204,9
Exact Cardinality,10,6095,864,1000,6231,0.141756,439,2.2597,7,1.2766,10
Exact Cardinality,11,6231,908,1000,6323,0.145723,478,2.2762,7,1.6256,11
Exact Cardinality,12,6323,885,1000,6438,0.139965,470,2.2617,5,1.3593,12
Exact Cardinality,13,6438,907,1000,6531,0.140882,467,2.1606,5,1.5590,13
Exact Cardinality,14,6531,876,1000,6655,0.134130,473,2.2622,5,1.4703,14
Exact Cardinality,15,6655,899,1000,6756,0.135086,495,2.2404,5,1.4227,15
Exact Cardinality,16,6756,918,1000,6838,0.135879,485,2.2474,5,1.4227,16
Exact Cardinality,17,6838,885,1000,6953,0.129424,472,2.2140,5,1.3831,17
Exact Cardinality,18,6953,890,1000,7063,0.128002,492,2.2520,6,1.4348,18
Exact Cardinality,19,7063,907,1000,7156,0.128416,475,2.2168,6,1.2304,13
Exact Cardinality,20,7156,844,1000,7312,0.117943,453,2.1987,5,1.3104,20
Exact Cardinality,21,7312,894,1000,7418,0.122265,467,2.1884,5,1.2897,21
Exact Cardinality,22,7418,897,1000,7521,0.120922,476,2.2542,5,1.3032,22
Exact Cardinality,23,7521,916,1000,7605,0.121792,478,2.2218,6,1.7303,23
Exact Cardinality,24,7605,925,1000,7680,0.121631,462,2.2879,6,2.0962,24
Exact Cardinality,25,7680,903,1000,7777,0.117578,482,2.2593,5,1.7697,25
Exact Cardinality,26,7777,877,1000,7900,0.112768,440,2.2432,5,1.2098,26
Exact Cardinality,27,7900,920,1000,7980,0.116456,474,2.2194,6,1.6272,27
Exact Cardinality,28,7980,884,1000,8096,0.110777,460,2.1913,4,1.6968,28
Exact Cardinality,29,8096,910,1000,8186,0.112401,477,2.1761,5,1.9813,29
Exact Cardinality,30,8186,882,1000,8304,0.107745,455,2.2549,6,1.6293,30
Exact Cardinality,31,8304,884,1000,8420,0.106455,463,2.2592,5,1.7353,31
Exact Cardinality,32,8420,863,1000,8557,0.102494,454,2.2137,5,1.5516,32
Exact Cardinality,33,8557,854,1000,8703,0.099801,449,2.2316,4,1.6487,33
Exact Cardinality,34,8703,863,1000,8840,0.099161,456,2.2083,6,1.2341,34
Exact Cardinality,35,8840,880,1000,8960,0.099548,470,2.2213,4,1.6080,35
Exact Cardinality,36,8960,900,1000,9060,0.100446,465,2.2151,5,1.7489,36
Exact Cardinality,37,9060,882,1000,9178,0.097351,454,2.1762,4,1.4660,37
Exact Cardinality,38,9178,894,1000,9284,0.097407,466,2.3047,6,1.3781,38
Exact Cardinality,39,9284,899,1000,9385,0.096833,474,2.2300,6,1.5395,39
Exact Cardinality,40,9385,847,1000,9538,0.090250,440,2.2159,4,1.8583,40
Exact Cardinality,41,9538,899,1000,9639,0.094255,478,2.2113,5,1.8087,41
Exact Cardinality,42,9639,871,1000,9768,0.090362,450,2.1667,4,2.5178,42
Exact Cardinality,43,9768,894,1000,9874,0.091523,471,2.2420,4,2.6286,43
Exact Cardinality,44,9874,883,1000,9991,0.089427,450,2.2200,6,1.5028,44
Exact Cardinality,45,9991,857,1000,10134,0.085777,455,2.2615,5,2.2497,45
Exact Cardinality,46,10134,903,1000,10231,0.089106,467,2.1777,6,2.1074,46
Exact Cardinality,47,10231,899,1000,10332,0.087870,484,2.2045,5,1.7831,47
Exact Cardinality,48,10332,857,1000,10475,0.082946,449,2.2339,4,2.0315,48
Exact Cardinality,49,10475,870,1000,10605,0.083055,446,2.1883,5,2.2851,49
Exact Cardinality,50,10605,878,1000,10727,0.082791,451,2.2262,5,1.9260,50
Exact Priority,1,30000,23760,1000,7240,0.792000,19327,2.0498,5,1.0000,1
Exact Priority,2,7240,795,1000,7445,0.109807,384,2.2214,4,1.4830,2
Exact Priority,3,7445,821,1000,7624,0.110275,413,2.2591,5,2.0061,3
Exact Priority,4,7624,828,1000,7796,0.108604,401,2.2095,5,2.4529,4
Exact Priority,5,7796,775,1000,8021,0.099410,370,2.2243,4,2.8968,5
Exact Priority,6,8021,901,1000,8120,0.112330,452,2.2146,5,3.4606,6
Exact Priority,7,8120,813,1000,8307,0.100123,385,2.2519,4,3.7712,7
Exact Priority,8,8307,772,1000,8535,0.092934,359,2.2786,4,4.0609,8
Exact Priority,9,8535,762,1000,8773,0.089279,358,2.2235,4,4.6129,9
Exact Priority,10,8773,822,1000,8951,0.093697,396,2.2323,4,5.1509,10
Exact Priority,11,8951,802,1000,9149,0.089599,380,2.2526,5,5.3466,11
Exact Priority,12,9149,796,1000,9353,0.087004,376,2.2553,4,5.6168,12
Exact Priority,13,9353,742,1000,9611,0.079333,350,2.2400,5,6.1806,13
Exact Priority,14,9611,842,1000,9769,0.087608,396,2.2374,4,6.0926,14
Exact Priority,15,9769,773,1000,9996,0.079128,375,2.2053,4,6.6391,15
Exact Priority,16,9996,836,1000,10160,0.083633,406,2.2069,5,6.7931,16
Exact Priority,17,10160,876,1000,10284,0.086220,428,2.2056,4,7.0491,17
Exact Priority,18,10284,743,1000,10541,0.072248,341,2.2786,5,7.0283,18
Exact Priority,19,10541,816,1000,10725,0.077412,378,2.2804,5,7.3554,19
Exact Priority,20,10725,805,1000,10920,0.075058,392,2.2730,4,7.6944,20
Exact Priority,21,10920,839,1000,11081,0.076832,387,2.2920,5,7.5328,21
Exact Priority,22,11081,855,1000,11226,0.077159,425,2.2329,4,8.5263,22
Exact Priority,23,11226,825,1000,11401,0.073490,394,2.2563,4,8.6121,23
Exact Priority,24,11401,813,1000,11588,0.071310,389,2.2339,4,8.7417,24
Exact Priority,25,11588,826,1000,11762,0.071281,404,2.2228,4,8.9758,25
Exact Priority,26,11762,858,1000,11904,0.072947,429,2.2284,4,9.7040,26
Exact Priority,27,11904,861,1000,12043,0.072329,412,2.2694,4,9.6876,27
Exact Priority,28,12043,781,1000,12262,0.064851,373,2.2493,4,9.7337,28
Exact Priority,29,12262,833,1000,12429,0.067933,424,2.2335,4,9.4286,28
Exact Priority,30,12429,860,1000,12569,0.069193,422,2.2464,4,9.6686,29
Exact Priority,31,12569,792,1000,12777,0.063012,378,2.2275,4,10.3182,29
Exact Priority,32,12777,866,1000,12911,0.067778,433,2.2125,4,9.7483,30
Exact Priority,33,12911,807,1000,13104,0.062505,385,2.2468,4,10.1722,30
Exact Priority,34,13104,865,1000,13239,0.066010,427,2.2272,4,10.4370,31
Exact Priority,35,13239,825,1000,13414,0.062316,403,2.2159,4,10.8024,31
Exact Priority,36,13414,848,1000,13566,0.063218,394,2.2741,4,10.5743,32
Exact Priority,37,13566,823,1000,13743,0.060666,405,2.2000,5,10.9623,32
Exact Priority,38,13743,818,1000,13925,0.059521,389,2.1799,4,11.0880,32
Exact Priority,39,13925,858,1000,14067,0.061616,427,2.2014,4,11.2949,33
Exact Priority,40,14067,823,1000,14244,0.058506,393,2.2621,4,11.1179,33
Exact Priority,41,14244,836,1000,14408,0.058691,391,2.2097,4,10.7691,33
Exact Priority,42,14408,816,1000,14592,0.056635,387,2.2532,4,11.5098,34
Exact Priority,43,14592,864,1000,14728,0.059211,441,2.1905,5,11.6493,34
Exact Priority,44,14728,825,1000,14903,0.056016,387,2.2506,4,11.3285,35
Exact Priority,45,14903,881,1000,15022,0.059116,419,2.2554,4,12.3099,35
Exact Priority,46,15022,890,1000,15132,0.059246,446,2.2242,5,12.0787,36
Exact Priority,47,15132,764,1000,15368,0.050489,353,2.2663,4,12.0707,36
Exact Priority,48,15368,824,1000,15544,0.053618,387,2.2687,4,12.2100,36
Exact Priority,49,15544,804,1000,15740,0.051724,395,2.2633,4,12.4764,37
Exact Priority,50,15740,915,1000,15825,0.058132,455,2.1868,5,12.7093,37
