algorithm,day,waitlist_before,patients_resolved,new_requests,waitlist_after,satisfaction_rate,cycles_found,avg_cycle_length,max_cycle_length
Huitfeldt TTC,41,12427,919,1000,12508,0.073952,296,3.1047,8
Huitfeldt TTC,42,12508,888,1000,12620,0.070995,274,3.2409,8
Huitfeldt TTC,43,12620,838,1000,12782,0.066403,269,3.1152,8
Huitfeldt TTC,44,12782,853,1000,12929,0.066734,267,3.1948,8
Huitfeldt TTC,45,12929,872,1000,13057,0.067445,278,3.1367,8
Huitfeldt TTC,46,13057,849,1000,13208,0.065023,266,3.1917,7
Huitfeldt TTC,47,13208,876,1000,13332,0.066323,283,3.0954,8
Huitfeldt TTC,48,13332,890,1000,13442,0.066757,287,3.1010,8
Huitfeldt TTC,49,13442,881,1000,13561,0.065541,277,3.1805,8
Huitfeldt TTC,50,13561,848,1000,13713,0.062532,254,3.3386,7
Exact Cardinality,1,30000,25846,1000,5154,0.861533,13242,2.1240,6
Exact Cardinality,2,5154,890,1000,5264,0.172681,468,2.2479,6
Exact Cardinality,3,5264,842,1000,5422,0.159954,442,2.1991,4
Exact Cardinality,4,5422,881,1000,5541,0.162486,456,2.2259,6
Exact Cardinality,5,5541,887,1000,5654,0.160079,466,2.2425,5
Exact Cardinality,6,5654,896,1000,5758,0.158472,473,2.2537,5
Exact Cardinality,7,5758,899,1000,5859,0.156131,472,2.3242,6
Exact Cardinality,8,5859,902,1000,5957,0.153951,483,2.3644,6
Exact Cardinality,9,5957,862,1000,6095,0.144704,457,2.2845,6
Exact Cardinality,10,6095,864,1000,6231,0.141756,439,2.2597,7
Exact Cardinality,11,6231,908,1000,6323,0.145723,478,2.2762,7
Exact Cardinality,12,6323,885,1000,6438,0.139965,470,2.2617,5
Exact Cardinality,13,6438,907,1000,6531,0.140882,467,2.1606,5
Exact Cardinality,14,6531,876,1000,6655,0.134130,473,2.2622,5
Exact Cardinality,15,6655,899,1000,6756,0.135086,495,2.2404,5
Exact Cardinality,16,6756,918,1000,6838,0.135879,485,2.2474,5
Exact Cardinality,17,6838,885,1000,6953,0.129424,472,2.2140,5
Exact Cardinality,18,6953,890,1000,7063,0.128002,492,2.2520,6
Exact Cardinality,19,7063,907,1000,7156,0.128416,475,2.2168,6
Exact Cardinality,20,7156,844,1000,7312,0.117943,453,2.1987,5
Exact Cardinality,21,7312,894,1000,7418,0.122265,467,2.1884,5
Exact Cardinality,22,7418,897,1000,7521,0.120922,476,2.2542,5
Exact Cardinality,23,7521,916,1000,7605,0.121792,478,2.2218,6
Exact Cardinality,24,7605,925,1000,7680,0.121631,462,2.2879,6
Exact Cardinality,25,7680,903,1000,7777,0.117578,482,2.2593,5
Exact Cardinality,26,7777,877,1000,7900,0.112768,440,2.2432,5
Exact Cardinality,27,7900,920,1000,7980,0.116456,474,2.2194,6
Exact Cardinality,28,7980,884,1000,8096,0.110777,460,2.1913,4
Exact Cardinality,29,8096,910,1000,8186,0.112401,477,2.1761,5
Exact Cardinality,30,8186,882,1000,8304,0.107745,455,2.2549,6
Exact Cardinality,31,8304,884,1000,8420,0.106455,463,2.2592,5
Exact Cardinality,32,8420,863,1000,8557,0.102494,454,2.2137,5
Exact Cardinality,33,8557,854,1000,8703,0.099801,449,2.2316,4
Exact Cardinality,34,8703,863,1000,8840,0.099161,456,2.2083,6
Exact Cardinality,35,8840,880,1000,8960,0.099548,470,2.2213,4
Exact Cardinality,36,8960,900,1000,9060,0.100446,465,2.2151,5
Exact Cardinality,37,9060,882,1000,9178,0.097351,454,2.1762,4
Exact Cardinality,38,9178,894,1000,9284,0.097407,466,2.3047,6
Exact Cardinality,39,9284,899,1000,9385,0.096833,474,2.2300,6
Exact Cardinality,40,9385,847,1000,9538,0.090250,440,2.2159,4
Exact Cardinality,41,9538,899,1000,9639,0.094255,478,2.2113,5
Exact Cardinality,42,9639,871,1000,9768,0.090362,450,2.1667,4
Exact Cardinality,43,9768,894,1000,9874,0.091523,471,2.2420,4
Exact Cardinality,44,9874,883,1000,9991,0.089427,450,2.2200,6
Exact Cardinality,45,9991,857,1000,10134,0.085777,455,2.2615,5
Exact Cardinality,46,10134,903,1000,10231,0.089106,467,2.1777,6
Exact Cardinality,47,10231,899,1000,10332,0.087870,484,2.2045,5
Exact Cardinality,48,10332,857,1000,10475,0.082946,449,2.2339,4
Exact Cardinality,49,10475,870,1000,10605,0.083055,446,2.1883,5
Exact Cardinality,50,10605,878,1000,10727,0.082791,451,2.2262,5
Exact Priority,1,30000,23760,1000,7240,0.792000,19327,2.0498,5
Exact Priority,2,7240,795,1000,7445,0.109807,384,2.2214,4
Exact Priority,3,7445,821,1000,7624,0.110275,413,2.2591,5
Exact Priority,4,7624,828,1000,7796,0.108604,401,2.2095,5
Exact Priority,5,7796,775,1000,8021,0.099410,370,2.2243,4
Exact Priority,6,8021,901,1000,8120,0.112330,452,2.2146,5
Exact Priority,7,8120,813,1000,8307,0.100123,385,2.2519,4
Exact Priority,8,8307,772,1000,8535,0.092934,359,2.2786,4
Exact Priority,9,8535,762,1000,8773,0.089279,358,2.2235,4
Exact Priority,10,8773,822,1000,8951,0.093697,396,2.2323,4
Exact Priority,11,8951,802,1000,9149,0.089599,380,2.2526,5
Exact Priority,12,9149,796,1000,9353,0.087004,376,2.2553,4
Exact Priority,13,9353,742,1000,9611,0.079333,350,2.2400,5
Exact Priority,14,9611,842,1000,9769,0.087608,396,2.2374,4
Exact Priority,15,9769,773,1000,9996,0.079128,375,2.2053,4
Exact Priority,16,9996,836,1000,10160,0.083633,406,2.2069,5
Exact Priority,17,10160,876,1000,10284,0.086220,428,2.2056,4
Exact Priority,18,10284,743,1000,10541,0.072248,341,2.2786,5
Exact Priority,19,10541,816,1000,10725,0.077412,378,2.2804,5
Exact Priority,20,10725,805,1000,10920,0.075058,392,2.2730,4
Exact Priority,21,10920,839,1000,11081,0.076832,387,2.2920,5
Exact Priority,22,11081,855,1000,11226,0.077159,425,2.2329,4
Exact Priority,23,11226,825,1000,11401,0.073490,394,2.2563,4
Exact Priority,24,11401,813,1000,11588,0.071310,389,2.2339,4
Exact Priority,25,11588,826,1000,11762,0.071281,404,2.2228,4
Exact Priority,26,11762,858,1000,11904,0.072947,429,2.2284,4
Exact Priority,27,11904,861,1000,12043,0.072329,412,2.2694,4
Exact Priority,28,12043,781,1000,12262,0.064851,373,2.2493,4
Exact Priority,29,12262,833,1000,12429,0.067933,424,2.2335,4
Exact Priority,30,12429,860,1000,12569,0.069193,422,2.2464,4
Exact Priority,31,12569,792,1000,12777,0.063012,378,2.2275,4
Exact Priority,32,12777,866,1000,12911,0.067778,433,2.2125,4
Exact Priority,33,12911,807,1000,13104,0.062505,385,2.2468,4
Exact Priority,34,13104,865,1000,13239,0.066010,427,2.2272,4
Exact Priority,35,13239,825,1000,13414,0.062316,403,2.2159,4
Exact Priority,36,13414,848,1000,13566,0.063218,394,2.2741,4
Exact Priority,37,13566,823,1000,13743,0.060666,405,2.2000,5
Exact Priority,38,13743,818,1000,13925,0.059521,389,2.1799,4
Exact Priority,39,13925,858,1000,14067,0.061616,427,2.2014,4
Exact Priority,40,14067,823,1000,14244,0.058506,393,2.2621,4
Exact Priority,41,14244,836,1000,14408,0.058691,391,2.2097,4
Exact Priority,42,14408,816,1000,14592,0.056635,387,2.2532,4
Exact Priority,43,14592,864,1000,14728,0.059211,441,2.1905,5
Exact Priority,44,14728,825,1000,14903,0.056016,387,2.2506,4
Exact Priority,45,14903,881,1000,15022,0.059116,419,2.2554,4
Exact Priority,46,15022,890,1000,15132,0.059246,446,2.2242,5
Exact Priority,47,15132,764,1000,15368,0.050489,353,2.2663,4
Exact Priority,48,15368,824,1000,15544,0.053618,387,2.2687,4
Exact Priority,49,15544,804,1000,15740,0.051724,395,2.2633,4
Exact Priority,50,15740,915,1000,15825,0.058132,455,2.1868,5
