algorithm,day,waitlist_before,patients_resolved,new_requests,waitlist_after,satisfaction_rate,cycles_found,avg_cycle_length,max_cycle_length
Greedy DFS,1,30000,24528,1000,6472,0.817600,2906,8.4405,113
Greedy DFS,2,6472,913,1000,6559,0.141069,90,10.1444,38
Greedy DFS,3,6559,862,1000,6697,0.131422,120,7.1833,38
Greedy DFS,4,6697,829,1000,6868,0.123787,99,8.3737,68
Greedy DFS,5,6868,855,1000,7013,0.124490,89,9.6067,61
Greedy DFS,6,7013,883,1000,7130,0.125909,66,13.3788,79
Greedy DFS,7,7130,863,1000,7267,0.121038,69,12.5072,66
Greedy DFS,8,7267,794,1000,7473,0.109261,59,13.4576,68
Greedy DFS,9,7473,795,1000,7678,0.106383,55,14.4545,79
Greedy DFS,10,7678,855,1000,7823,0.111357,52,16.4423,90
Greedy DFS,11,7823,783,1000,8040,0.100089,44,17.7955,89
Greedy DFS,12,8040,891,1000,8149,0.110821,49,18.1837,98
Greedy DFS,13,8149,858,1000,8291,0.105289,59,14.5424,106
Greedy DFS,14,8291,850,1000,8441,0.102521,51,16.6667,90
Greedy DFS,15,8441,845,1000,8596,0.100107,44,19.2045,105
Greedy DFS,16,8596,850,1000,8746,0.098883,32,26.5625,86
Greedy DFS,17,8746,813,1000,8933,0.092957,27,30.1111,143
Greedy DFS,18,8933,851,1000,9082,0.095265,39,21.8205,164
Greedy DFS,19,9082,900,1000,9182,0.099097,29,31.0345,208
Greedy DFS,20,9182,818,1000,9364,0.089087,32,25.5625,131
Greedy DFS,21,9364,804,1000,9560,0.085861,34,23.6471,123
Greedy DFS,22,9560,887,1000,9673,0.092782,33,26.8788,145
Greedy DFS,23,9673,866,1000,9807,0.089528,39,22.2051,142
Greedy DFS,24,9807,803,1000,10004,0.081880,32,25.0938,101
Greedy DFS,25,10004,878,1000,10126,0.087765,35,25.0857,108
Greedy DFS,26,10126,831,1000,10295,0.082066,32,25.9688,136
Greedy DFS,27,10295,837,1000,10458,0.081302,28,29.8929,167
Greedy DFS,28,10458,882,1000,10576,0.084337,31,28.4516,152
Greedy DFS,29,10576,852,1000,10724,0.080560,34,25.0588,204
Greedy DFS,30,10724,853,1000,10871,0.079541,37,23.0541,138
Greedy DFS,31,10871,848,1000,11023,0.078006,32,26.5000,155
Greedy DFS,32,11023,828,1000,11195,0.075116,29,28.5517,266
Greedy DFS,33,11195,847,1000,11348,0.075659,23,36.8261,177
Greedy DFS,34,11348,829,1000,11519,0.073053,33,25.1212,160
Greedy DFS,35,11519,925,1000,11594,0.080302,30,30.8333,173
Greedy DFS,36,11594,846,1000,11748,0.072969,27,31.3333,168
Greedy DFS,37,11748,804,1000,11944,0.068437,23,34.9565,132
Greedy DFS,38,11944,816,1000,12128,0.068319,20,40.8000,217
Greedy DFS,39,12128,877,1000,12251,0.072312,22,39.8636,153
Greedy DFS,40,12251,796,1000,12455,0.064974,33,24.1212,116
Greedy DFS,41,12455,864,1000,12591,0.069370,18,48.0000,166
Greedy DFS,42,12591,820,1000,12771,0.065126,20,41.0000,131
Greedy DFS,43,12771,870,1000,12901,0.068123,18,48.3333,216
Greedy DFS,44,12901,809,1000,13092,0.062708,14,57.7857,177
Greedy DFS,45,13092,870,1000,13222,0.066453,15,58.0000,205
Greedy DFS,46,13222,886,1000,13336,0.067010,15,59.0667,200
Greedy DFS,47,13336,845,1000,13491,0.063362,14,60.3571,221
Greedy DFS,48,13491,935,1000,13556,0.069305,13,71.9231,220
Greedy DFS,49,13556,893,1000,13663,0.065875,15,59.5333,140
Greedy DFS,50,13663,869,1000,13794,0.063602,15,57.9333,130
Huitfeldt TTC,1,30000,24581,1000,6419,0.819367,7631,3.2212,9
Huitfeldt TTC,2,6419,875,1000,6544,0.136314,291,3.0069,7
Huitfeldt TTC,3,6544,864,1000,6680,0.132029,276,3.1304,8
Huitfeldt TTC,4,6680,828,1000,6852,0.123952,262,3.1603,8
Huitfeldt TTC,5,6852,805,1000,7047,0.117484,256,3.1445,9
Huitfeldt TTC,6,7047,815,1000,7232,0.115652,259,3.1467,9
Huitfeldt TTC,7,7232,826,1000,7406,0.114215,267,3.0936,8
Huitfeldt TTC,8,7406,809,1000,7597,0.109236,252,3.2103,9
Huitfeldt TTC,9,7597,871,1000,7726,0.114651,282,3.0887,7
Huitfeldt TTC,10,7726,834,1000,7892,0.107947,270,3.0889,8
Huitfeldt TTC,11,7892,829,1000,8063,0.105043,256,3.2383,8
Huitfeldt TTC,12,8063,846,1000,8217,0.104924,262,3.2290,9
Huitfeldt TTC,13,8217,835,1000,8382,0.101619,266,3.1391,9
Huitfeldt TTC,14,8382,845,1000,8537,0.100811,271,3.1181,8
Huitfeldt TTC,15,8537,854,1000,8683,0.100035,267,3.1985,8
Huitfeldt TTC,16,8683,867,1000,8816,0.099850,273,3.1758,9
Huitfeldt TTC,17,8816,832,1000,8984,0.094374,264,3.1515,7
Huitfeldt TTC,18,8984,804,1000,9180,0.089492,260,3.0923,9
Huitfeldt TTC,19,9180,869,1000,9311,0.094662,281,3.0925,7
Huitfeldt TTC,20,9311,833,1000,9478,0.089464,268,3.1082,7
Huitfeldt TTC,21,9478,858,1000,9620,0.090525,268,3.2015,9
Huitfeldt TTC,22,9620,872,1000,9748,0.090644,282,3.0922,7
Huitfeldt TTC,23,9748,839,1000,9909,0.086069,265,3.1660,7
Huitfeldt TTC,24,9909,850,1000,10059,0.085781,280,3.0357,7
Huitfeldt TTC,25,10059,872,1000,10187,0.086689,277,3.1480,8
Huitfeldt TTC,26,10187,833,1000,10354,0.081771,259,3.2162,7
Huitfeldt TTC,27,10354,839,1000,10515,0.081031,256,3.2773,9
Huitfeldt TTC,28,10515,884,1000,10631,0.084070,286,3.0909,8
Huitfeldt TTC,29,10631,854,1000,10777,0.080331,257,3.3230,8
Huitfeldt TTC,30,10777,832,1000,10945,0.077201,271,3.0701,7
Huitfeldt TTC,31,10945,836,1000,11109,0.076382,258,3.2403,8
Huitfeldt TTC,32,11109,860,1000,11249,0.077415,272,3.1618,7
Huitfeldt TTC,33,11249,868,1000,11381,0.077162,265,3.2755,8
Huitfeldt TTC,34,11381,833,1000,11548,0.073192,269,3.0967,8
Huitfeldt TTC,35,11548,870,1000,11678,0.075338,263,3.3080,9
Huitfeldt TTC,36,11678,872,1000,11806,0.074670,284,3.0704,7
Huitfeldt TTC,37,11806,808,1000,11998,0.068440,251,3.2191,7
Huitfeldt TTC,38,11998,892,1000,12106,0.074346,284,3.1408,9
Huitfeldt TTC,39,12106,854,1000,12252,0.070544,269,3.1747,8
Huitfeldt TTC,40,12252,825,1000,12427,0.067336,269,3.0669,8
