algorithm,day,waitlist_before,patients_resolved,new_requests,waitlist_after,satisfaction_rate,cycles_found,avg_cycle_length,max_cycle_length,avg_wait_days,max_wait_days,cross_requests_added,cross_resolved,solve_ms
Greedy DFS,1,200,186,40,54,0.930000,2,93.0000,184,1.0000,1,0,0,0.3556
Greedy DFS,2,54,36,40,58,0.666667,4,9.0000,26,1.3889,2,0,0,0.0399
Greedy DFS,3,58,34,40,64,0.586207,1,34.0000,34,1.5000,2,0,0,0.0272
Greedy DFS,4,64,40,40,64,0.625000,2,20.0000,38,1.5250,3,0,0,0.0332
Greedy DFS,5,64,42,40,62,0.656250,3,14.0000,34,1.5952,3,0,0,0.0323
Greedy DFS,6,62,38,40,64,0.612903,3,12.6667,32,1.5789,3,0,0,0.0295
Greedy DFS,7,64,34,40,70,0.531250,3,11.3333,28,1.5882,3,0,0,0.0553
Greedy DFS,8,70,46,40,64,0.657143,3,15.3333,32,1.6522,3,0,0,0.0372
Greedy DFS,9,64,24,40,80,0.375000,3,8.0000,12,1.7917,3,0,0,0.0219
Greedy DFS,10,80,46,40,74,0.575000,3,15.3333,22,1.7609,3,0,0,0.0398
Greedy DFS,11,74,46,40,68,0.621622,3,15.3333,32,1.8696,3,0,0,0.0365
Greedy DFS,12,68,40,40,68,0.588235,3,13.3333,20,1.7750,3,0,0,0.0313
Greedy DFS,13,68,48,40,60,0.705882,3,16.0000,32,1.6667,3,0,0,0.0354
Greedy DFS,14,60,48,40,52,0.800000,6,8.0000,30,1.5000,3,0,0,0.0341
Greedy DFS,15,52,36,40,56,0.692308,4,9.0000,22,1.3333,2,0,0,0.0265
Greedy DFS,16,56,42,40,54,0.750000,3,14.0000,30,1.3810,2,0,0,0.0225
Greedy DFS,17,54,40,40,54,0.740741,3,13.3333,26,1.3500,2,0,0,0.0191
Greedy DFS,18,54,34,40,60,0.629630,4,8.5000,26,1.4118,2,0,0,0.0168
Greedy DFS,19,60,42,40,58,0.700000,3,14.0000,38,1.4762,2,0,0,0.0227
Greedy DFS,20,58,28,40,70,0.482759,1,28.0000,28,1.5000,2,0,0,0.0161
Huitfeldt TTC,1,200,186,40,54,0.930000,93,2.0000,2,1.0000,1,0,0,1.9828
Huitfeldt TTC,2,54,48,40,46,0.888889,24,2.0000,2,1.2292,2,0,0,0.3607
Huitfeldt TTC,3,46,34,40,52,0.739130,17,2.0000,2,1.0000,1,0,0,0.2667
Huitfeldt TTC,4,52,30,40,62,0.576923,15,2.0000,2,1.0333,2,0,0,0.3709
Huitfeldt TTC,5,62,38,40,64,0.612903,19,2.0000,2,1.2368,3,0,0,0.3323
Huitfeldt TTC,6,64,34,40,70,0.531250,17,2.0000,2,1.0000,1,0,0,0.4545
Huitfeldt TTC,7,70,44,40,66,0.628571,22,2.0000,2,1.3409,5,0,0,0.3558
Huitfeldt TTC,8,66,38,40,68,0.575758,19,2.0000,2,1.1579,4,0,0,0.3478
Huitfeldt TTC,9,68,42,40,66,0.617647,21,2.0000,2,1.3095,6,0,0,0.2715
Huitfeldt TTC,10,66,42,40,64,0.636364,21,2.0000,2,1.2381,8,0,0,0.3517
Huitfeldt TTC,11,64,38,40,66,0.593750,19,2.0000,2,1.0000,1,0,0,0.2505
Huitfeldt TTC,12,66,36,40,70,0.545455,18,2.0000,2,1.0000,1,0,0,0.2672
Huitfeldt TTC,13,70,38,40,72,0.542857,19,2.0000,2,1.0526,3,0,0,0.3541
Huitfeldt TTC,14,72,30,40,82,0.416667,15,2.0000,2,1.0000,1,0,0,0.2419
Huitfeldt TTC,15,82,30,40,92,0.365854,15,2.0000,2,1.0333,2,0,0,0.4099
Huitfeldt TTC,16,92,48,40,84,0.521739,24,2.0000,2,1.2917,3,0,0,0.3509
Huitfeldt TTC,17,84,40,40,84,0.476190,20,2.0000,2,1.3750,7,0,0,0.4080
Huitfeldt TTC,18,84,50,40,74,0.595238,25,2.0000,2,1.8400,7,0,0,0.3341
Huitfeldt TTC,19,74,38,40,76,0.513514,19,2.0000,2,1.0000,1,0,0,0.3797
Huitfeldt TTC,20,76,38,40,78,0.500000,19,2.0000,2,1.0000,1,0,0,0.3701
Exact Cardinality,1,200,186,40,54,0.930000,93,2.0000,2,1.0000,1,0,0,0.0991
Exact Cardinality,2,54,48,40,46,0.888889,24,2.0000,2,1.2292,2,0,0,0.0499
Exact Cardinality,3,46,34,40,52,0.739130,17,2.0000,2,1.0000,1,0,0,0.0154
Exact Cardinality,4,52,30,40,62,0.576923,15,2.0000,2,1.0333,2,0,0,0.0151
Exact Cardinality,5,62,38,40,64,0.612903,19,2.0000,2,1.2368,3,0,0,0.0169
Exact Cardinality,6,64,34,40,70,0.531250,17,2.0000,2,1.0000,1,0,0,0.0156
Exact Cardinality,7,70,44,40,66,0.628571,22,2.0000,2,1.3409,5,0,0,0.0684
Exact Cardinality,8,66,38,40,68,0.575758,19,2.0000,2,1.1579,4,0,0,0.0237
Exact Cardinality,9,68,42,40,66,0.617647,21,2.0000,2,1.3095,6,0,0,0.0250
Exact Cardinality,10,66,42,40,64,0.636364,21,2.0000,2,1.2381,8,0,0,0.0172
Exact Cardinality,11,64,38,40,66,0.593750,19,2.0000,2,1.0000,1,0,0,0.0164
Exact Cardinality,12,66,36,40,70,0.545455,18,2.0000,2,1.0000,1,0,0,0.0343
Exact Cardinality,13,70,38,40,72,0.542857,19,2.0000,2,1.0526,3,0,0,0.0159
Exact Cardinality,14,72,30,40,82,0.416667,15,2.0000,2,1.0000,1,0,0,0.0146
Exact Cardinality,15,82,30,40,92,0.365854,15,2.0000,2,1.0333,2,0,0,0.0158
Exact Cardinality,16,92,48,40,84,0.521739,24,2.0000,2,1.2917,3,0,0,0.0179
Exact Cardinality,17,84,40,40,84,0.476190,20,2.0000,2,1.3750,7,0,0,0.0181
Exact Cardinality,18,84,50,40,74,0.595238,25,2.0000,2,1.8400,7,0,0,0.0274
Exact Cardinality,19,74,38,40,76,0.513514,19,2.0000,2,1.0000,1,0,0,0.0250
Exact Cardinality,20,76,38,40,78,0.500000,19,2.0000,2,1.0000,1,0,0,0.0163
Exact Priority,1,200,186,40,54,0.930000,93,2.0000,2,1.0000,1,0,0,0.1315
Exact Priority,2,54,48,40,46,0.888889,24,2.0000,2,1.2917,2,0,0,0.0296
Exact Priority,3,46,32,40,54,0.695652,16,2.0000,2,1.1875,2,0,0,0.0230
Exact Priority,4,54,34,40,60,0.629630,17,2.0000,2,1.4118,2,0,0,0.0256
Exact Priority,5,60,36,40,64,0.600000,18,2.0000,2,1.5000,2,0,0,0.0281
Exact Priority,6,64,34,40,70,0.531250,17,2.0000,2,1.5588,3,0,0,0.0462
Exact Priority,7,70,42,40,68,0.600000,21,2.0000,2,1.6667,3,0,0,0.0313
Exact Priority,8,68,42,40,66,0.617647,21,2.0000,2,1.7143,3,0,0,0.0302
Exact Priority,9,66,42,40,64,0.636364,21,2.0000,2,1.6667,3,0,0,0.0291
Exact Priority,10,64,34,40,70,0.531250,17,2.0000,2,1.6471,3,0,0,0.0280
Exact Priority,11,70,42,40,68,0.600000,21,2.0000,2,1.6667,3,0,0,0.0491
Exact Priority,12,68,52,40,56,0.764706,26,2.0000,2,1.6731,3,0,0,0.0313
Exact Priority,13,56,30,40,66,0.535714,15,2.0000,2,1.5667,3,0,0,0.0254
Exact Priority,14,66,40,40,66,0.606061,20,2.0000,2,1.5250,3,0,0,0.0285
Exact Priority,15,66,38,40,68,0.575758,19,2.0000,2,1.6579,3,0,0,0.0282
Exact Priority,16,68,30,40,78,0.441176,15,2.0000,2,1.7333,3,0,0,0.0276
Exact Priority,17,78,38,40,80,0.487179,19,2.0000,2,1.8421,3,0,0,0.0311
Exact Priority,18,80,30,40,90,0.375000,15,2.0000,2,2.0000,3,0,0,0.0298
Exact Priority,19,90,26,40,104,0.288889,13,2.0000,2,2.1538,4,0,0,0.0324
Exact Priority,20,104,42,40,102,0.403846,21,2.0000,2,2.2857,4,0,0,0.0392
Util Linear,1,200,186,40,54,0.930000,93,2.0000,2,1.0000,1,0,0,0.1992
Util Linear,2,54,48,40,46,0.888889,24,2.0000,2,1.2292,2,0,0,0.0491
Util Linear,3,46,34,40,52,0.739130,17,2.0000,2,1.0000,1,0,0,0.0281
Util Linear,4,52,30,40,62,0.576923,15,2.0000,2,1.0333,2,0,0,0.0271
Util Linear,5,62,38,40,64,0.612903,19,2.0000,2,1.2368,3,0,0,0.0562
Util Linear,6,64,34,40,70,0.531250,17,2.0000,2,1.0000,1,0,0,0.0326
Util Linear,7,70,44,40,66,0.628571,22,2.0000,2,1.3409,5,0,0,0.0391
Util Linear,8,66,38,40,68,0.575758,19,2.0000,2,1.1579,4,0,0,0.0346
Util Linear,9,68,42,40,66,0.617647,21,2.0000,2,1.3095,6,0,0,0.0371
Util Linear,10,66,42,40,64,0.636364,21,2.0000,2,1.2381,8,0,0,0.0652
Util Linear,11,64,38,40,66,0.593750,19,2.0000,2,1.0000,1,0,0,0.0531
Util Linear,12,66,36,40,70,0.545455,18,2.0000,2,1.0000,1,0,0,0.0345
Util Linear,13,70,38,40,72,0.542857,19,2.0000,2,1.0526,3,0,0,0.0349
