algorithm,num_patients,num_doctors,num_days,total_resolved,avg_daily_satisfaction_rate,avg_waitlist_size,min_waitlist_size,max_waitlist_size,final_waitlist_size,avg_cycles_per_day,avg_cycle_length_overall,resolved_count,resolved_avg_wait,resolved_std_wait,resolved_p50,resolved_p90,resolved_p95,resolved_p99,resolved_max,outstanding_count,outstanding_avg_wait,outstanding_p50,outstanding_p90,outstanding_p95,outstanding_p99,outstanding_max,overall_avg_wait,overall_max_wait,starvation_threshold_days,starved_resolved,starved_outstanding,num_districts,cross_district_prob,cross_added,within_added,cross_resolved_count,cross_resolved_avg,cross_resolved_p90,cross_resolved_p99,cross_resolved_max,within_resolved_count,within_resolved_avg,within_resolved_p90,within_resolved_p99,within_resolved_max,cross_outstanding_count,cross_outstanding_avg,within_outstanding_count,within_outstanding_avg,total_solve_ms,avg_solve_ms,max_solve_ms
Greedy DFS,100000,102,20,17042,0.050849,4562.3000,3737,20000,3758,8.3500,86.2208,17042,1.2411,1.6885,1,1,1,12,20,3758,18.6525,20,20,20,20,20,4.3868,20,90,0,0,6,0.0200,446,20354,376,1.7340,2,16,20,16666,1.2299,1,12,20,70,19.0714,3688,18.6445,128.2367,6.4118,57.8982
Huitfeldt TTC,100000,102,20,16971,0.049798,4606.5000,3760,20000,3829,208.2500,2.8312,16971,1.1646,1.3177,1,1,1,8,20,3829,18.8992,20,20,20,20,20,4.4293,20,90,0,0,6,0.0200,449,20351,354,1.2062,1,9,17,16617,1.1637,1,8,20,95,19.4947,3734,18.8840,1789.8644,89.4932,1225.9785
Exact Cardinality,100000,102,20,17664,0.051721,3885.4000,2919,20000,3136,335.5500,3.1357,17664,1.1045,0.9838,1,1,1,5,20,3136,18.5580,20,20,20,20,20,3.7360,20,90,0,0,6,0.0200,446,20354,360,1.2167,1,12,20,17304,1.1022,1,5,20,86,18.9535,3050,18.5469,1217.3586,60.8679,1128.2708
Exact Priority,100000,102,20,16464,0.048586,5127.6500,4327,20000,4336,410.9500,2.9999,16464,1.2651,1.7800,1,1,1,13,20,4336,18.8480,20,20,20,20,20,4.9304,20,90,0,0,6,0.0200,445,20355,337,1.2226,1,7,16,16127,1.2660,1,13,20,108,19.2130,4228,18.8387,472.6205,23.6310,203.5522
