algorithm,num_patients,num_doctors,num_days,total_resolved,avg_daily_satisfaction_rate,avg_waitlist_size,min_waitlist_size,max_waitlist_size,final_waitlist_size,avg_cycles_per_day,avg_cycle_length_overall,resolved_count,resolved_avg_wait,resolved_std_wait,resolved_p50,resolved_p90,resolved_p95,resolved_p99,resolved_max,outstanding_count,outstanding_avg_wait,outstanding_p50,outstanding_p90,outstanding_p95,outstanding_p99,outstanding_max,overall_avg_wait,overall_max_wait,starvation_threshold_days,starved_resolved,starved_outstanding,num_districts,cross_district_prob,cross_added,within_added,cross_resolved_count,cross_resolved_avg,cross_resolved_p90,cross_resolved_p99,cross_resolved_max,within_resolved_count,within_resolved_avg,within_resolved_p90,within_resolved_p99,within_resolved_max,cross_outstanding_count,cross_outstanding_avg,within_outstanding_count,within_outstanding_avg,total_solve_ms,avg_solve_ms,max_solve_ms
Greedy DFS,1000000,1020,3650,613551,0.004235,53685.3984,10750,93405,93449,38.8685,4.2902,613551,183.8253,394.1581,7,645,1090,1922,2729,93449,889.9558,765,1887,2141,2441,2750,277.1594,2750,90,177766,85443,60,0.1100,77676,629324,72735,114.3338,316,1443,2708,540816,193.1713,691,1948,2729,4941,728.5807,88508,898.9647,617090.4984,169.0659,2980.6857
Huitfeldt TTC,1000000,1020,3650,620476,0.004358,50708.3164,10814,86516,86524,52.1507,3.1823,620476,80.7181,245.5986,6,187,413,1323,3635,86524,1560.2804,1420,3248,3545,3650,3650,261.7898,3650,90,102048,80225,60,0.1100,77603,629397,68850,136.4482,374,1703,3492,551626,73.7623,165,1247,3635,8753,1253.2283,77771,1594.8386,2589041.6881,709.3265,4538.6564
Exact Cardinality,1000000,1020,3650,625687,0.004785,47026.6896,7691,81320,81313,63.0003,3.8955,625687,74.4814,244.9040,5,158,395,1325,3645,81313,1537.8277,1394,3201,3495,3650,3650,242.7828,3650,90,87156,75673,60,0.1100,78078,628922,73731,95.6648,247,1287,3543,551956,71.6517,143,1331,3645,4347,958.9588,76966,1570.5219,14433713.8478,3954.4422,1740468.2234
Exact Priority,1000000,1020,3650,609304,0.004022,55934.7573,12244,97678,97696,61.6471,3.5392,609304,202.7594,408.3028,6,770,1211,1831,2434,97696,825.2100,738,1687,1874,2105,2433,288.7721,2434,90,182946,89640,60,0.1100,77481,629519,70637,145.2803,439,1761,2335,538667,210.2969,804,1838,2434,6844,825.7911,90852,825.1663,1855039.6021,508.2300,2020.5947
Util Linear,1000000,1020,3650,618710,0.004488,50521.5967,7691,88292,88290,70.2923,3.4814,618710,122.0179,316.0164,5,350,704,1669,3634,88290,1233.5501,988,2787,3217,3650,3650,260.8258,3650,90,140472,80962,60,0.1100,78010,628990,66758,150.1211,464,1825,3599,551952,118.6188,337,1645,3634,11252,1057.0211,77038,1259.3335,87794839.9331,24053.3808,9164839.6977
