algorithm,num_patients,num_doctors,num_days,total_resolved,avg_daily_satisfaction_rate,avg_waitlist_size,min_waitlist_size,max_waitlist_size,final_waitlist_size,avg_cycles_per_day,avg_cycle_length_overall,resolved_count,resolved_avg_wait,resolved_std_wait,resolved_p50,resolved_p90,resolved_p95,resolved_p99,resolved_max,outstanding_count,outstanding_avg_wait,outstanding_p50,outstanding_p90,outstanding_p95,outstanding_p99,outstanding_max,overall_avg_wait,overall_max_wait,starvation_threshold_days,starved_resolved,starved_outstanding,num_districts,cross_district_prob,cross_added,within_added,cross_resolved_count,cross_resolved_avg,cross_resolved_p90,cross_resolved_p99,cross_resolved_max,within_resolved_count,within_resolved_avg,within_resolved_p90,within_resolved_p99,within_resolved_max,cross_outstanding_count,cross_outstanding_avg,within_outstanding_count,within_outstanding_avg,total_solve_ms,avg_solve_ms,max_solve_ms
Greedy DFS,100000,102,36,4621,0.038624,1109.0278,972,5000,1027,4.5000,12.6198,4621,2.1283,4.7160,1,1,10,29,36,1027,29.2989,36,36,36,36,36,7.0689,36,90,0,0,6,0.1100,661,4987,547,2.3382,2,26,31,4074,2.1001,1,29,36,114,29.3684,913,29.2903,29.2000,0.8111,3.2045
Huitfeldt TTC,100000,102,36,4554,0.036375,1134.7500,970,5000,1094,27.1667,3.0050,4554,1.7648,3.7010,1,1,4,23,36,1094,29.9945,36,36,36,36,36,7.2328,36,90,0,0,6,0.1100,660,4988,520,1.5288,1,20,24,4034,1.7952,1,24,36,140,29.6357,954,30.0472,551.7592,15.3266,109.1850
Exact Cardinality,100000,102,36,4794,0.040331,920.3333,702,5000,854,45.8611,3.5537,4794,1.6569,3.3489,1,1,4,22,36,854,29.4953,36,36,36,36,36,5.8661,36,90,0,0,6,0.1100,683,4965,576,2.2101,1,28,35,4218,1.5813,1,20,36,107,27.0654,747,29.8434,930.1383,25.8372,829.9412
Exact Priority,100000,102,36,4518,0.037560,1233.5556,1103,5000,1130,60.1944,3.6379,4518,2.3539,5.1530,1,1,14,28,36,1130,29.8876,36,36,36,36,36,7.8626,36,90,0,0,6,0.1100,660,4988,545,2.3835,3,27,34,3973,2.3499,1,30,36,115,30.5652,1015,29.8108,142.3878,3.9552,25.9988
Util Linear,100000,102,36,4797,0.040418,920.5833,702,5000,851,45.9722,3.5303,4797,1.7386,3.6955,1,1,4,24,36,851,29.1434,36,36,36,36,36,5.8677,36,90,0,0,6,0.1100,674,4974,563,2.3108,1,34,35,4234,1.6625,1,21,36,111,29.0541,740,29.1568,6508.3112,180.7864,6367.9206
