algorithm,kind,wait_days,count
Exact Cardinality,resolved,12,6
Exact Cardinality,resolved,13,10
Exact Cardinality,resolved,14,7
Exact Cardinality,resolved,15,14
Exact Cardinality,resolved,16,3
Exact Cardinality,resolved,17,8
Exact Cardinality,resolved,18,3
Exact Cardinality,resolved,19,1
Exact Cardinality,resolved,20,3
Exact Cardinality,resolved,21,8
Exact Cardinality,resolved,22,6
Exact Cardinality,resolved,23,5
Exact Cardinality,resolved,24,4
Exact Cardinality,resolved,25,4
Exact Cardinality,resolved,26,6
Exact Cardinality,resolved,27,4
Exact Cardinality,resolved,28,1
Exact Cardinality,resolved,29,1
Exact Cardinality,resolved,31,2
Exact Cardinality,resolved,32,2
Exact Cardinality,resolved,33,4
Exact Cardinality,resolved,34,4
Exact Cardinality,resolved,35,3
Exact Cardinality,resolved,36,2
Exact Cardinality,outstanding,0,18
Exact Cardinality,outstanding,1,12
Exact Cardinality,outstanding,2,9
Exact Cardinality,outstanding,3,9
Exact Cardinality,outstanding,4,11
Exact Cardinality,outstanding,5,8
Exact Cardinality,outstanding,6,12
Exact Cardinality,outstanding,7,13
Exact Cardinality,outstanding,8,5
Exact Cardinality,outstanding,9,5
Exact Cardinality,outstanding,10,7
Exact Cardinality,outstanding,11,5
Exact Cardinality,outstanding,12,8
Exact Cardinality,outstanding,13,7
Exact Cardinality,outstanding,14,8
Exact Cardinality,outstanding,15,5
Exact Cardinality,outstanding,16,6
Exact Cardinality,outstanding,17,6
Exact Cardinality,outstanding,18,12
Exact Cardinality,outstanding,19,4
Exact Cardinality,outstanding,20,5
Exact Cardinality,outstanding,21,5
Exact Cardinality,outstanding,22,4
Exact Cardinality,outstanding,23,9
Exact Cardinality,outstanding,24,8
Exact Cardinality,outstanding,25,8
Exact Cardinality,outstanding,26,8
Exact Cardinality,outstanding,27,5
Exact Cardinality,outstanding,28,3
Exact Cardinality,outstanding,29,8
Exact Cardinality,outstanding,30,6
Exact Cardinality,outstanding,31,5
Exact Cardinality,outstanding,32,3
Exact Cardinality,outstanding,33,4
Exact Cardinality,outstanding,34,3
Exact Cardinality,outstanding,35,5
Exact Cardinality,outstanding,36,595
Exact Priority,resolved,1,4089
Exact Priority,resolved,2,22
Exact Priority,resolved,3,37
Exact Priority,resolved,4,21
Exact Priority,resolved,5,19
Exact Priority,resolved,6,17
Exact Priority,resolved,7,16
Exact Priority,resolved,8,9
Exact Priority,resolved,9,10
Exact Priority,resolved,10,10
Exact Priority,resolved,11,11
Exact Priority,resolved,12,16
Exact Priority,resolved,13,15
Exact Priority,resolved,14,15
Exact Priority,resolved,15,8
Exact Priority,resolved,16,14
Exact Priority,resolved,17,18
Exact Priority,resolved,18,15
Exact Priority,resolved,19,6
Exact Priority,resolved,20,14
Exact Priority,resolved,21,7
Exact Priority,resolved,22,17
Exact Priority,resolved,23,14
Exact Priority,resolved,24,9
Exact Priority,resolved,25,8
Exact Priority,resolved,26,13
Exact Priority,resolved,27,9
Exact Priority,resolved,28,14
Exact Priority,resolved,29,2
Exact Priority,resolved,30,7
Exact Priority,resolved,31,6
Exact Priority,resolved,32,6
Exact Priority,resolved,33,6
Exact Priority,resolved,34,6
Exact Priority,resolved,35,8
Exact Priority,resolved,36,4
Exact Priority,outstanding,0,18
Exact Priority,outstanding,1,15
Exact Priority,outstanding,2,8
Exact Priority,outstanding,3,12
Exact Priority,outstanding,4,11
Exact Priority,outstanding,5,10
Exact Priority,outstanding,6,9
Exact Priority,outstanding,7,9
Exact Priority,outstanding,8,15
Exact Priority,outstanding,9,10
Exact Priority,outstanding,10,10
Exact Priority,outstanding,11,12
Exact Priority,outstanding,12,8
Exact Priority,outstanding,13,10
Exact Priority,outstanding,14,8
Exact Priority,outstanding,15,6
Exact Priority,outstanding,16,9
