algorithm,kind,wait_days,count
Greedy DFS,resolved,1,587
Greedy DFS,resolved,2,266
Greedy DFS,resolved,3,77
Greedy DFS,outstanding,0,40
Greedy DFS,outstanding,1,26
Greedy DFS,outstanding,2,4
Huitfeldt TTC,resolved,1,862
Huitfeldt TTC,resolved,2,26
Huitfeldt TTC,resolved,3,17
Huitfeldt TTC,resolved,4,4
Huitfeldt TTC,resolved,5,4
Huitfeldt TTC,resolved,6,4
Huitfeldt TTC,resolved,7,4
Huitfeldt TTC,resolved,8,1
Huitfeldt TTC,outstanding,0,40
Huitfeldt TTC,outstanding,1,2
Huitfeldt TTC,outstanding,2,2
Huitfeldt TTC,outstanding,3,1
Huitfeldt TTC,outstanding,4,2
Huitfeldt TTC,outstanding,6,4
Huitfeldt TTC,outstanding,7,1
Huitfeldt TTC,outstanding,8,2
Huitfeldt TTC,outstanding,11,1
Huitfeldt TTC,outstanding,12,1
Huitfeldt TTC,outstanding,13,2
Huitfeldt TTC,outstanding,14,2
Huitfeldt TTC,outstanding,15,4
Huitfeldt TTC,outstanding,16,3
Huitfeldt TTC,outstanding,17,5
Huitfeldt TTC,outstanding,19,3
Huitfeldt TTC,outstanding,20,3
Exact Cardinality,resolved,1,862
Exact Cardinality,resolved,2,26
Exact Cardinality,resolved,3,17
Exact Cardinality,resolved,4,4
Exact Cardinality,resolved,5,4
Exact Cardinality,resolved,6,4
Exact Cardinality,resolved,7,4
Exact Cardinality,resolved,8,1
Exact Cardinality,outstanding,0,40
Exact Cardinality,outstanding,1,2
Exact Cardinality,outstanding,2,2
Exact Cardinality,outstanding,3,1
Exact Cardinality,outstanding,4,2
Exact Cardinality,outstanding,6,4
Exact Cardinality,outstanding,7,1
Exact Cardinality,outstanding,8,2
Exact Cardinality,outstanding,11,1
Exact Cardinality,outstanding,12,1
Exact Cardinality,outstanding,13,2
Exact Cardinality,outstanding,14,2
Exact Cardinality,outstanding,15,4
Exact Cardinality,outstanding,16,3
Exact Cardinality,outstanding,17,5
