algorithm,num_patients,num_doctors,num_days,total_resolved,avg_daily_satisfaction_rate,avg_waitlist_size,min_waitlist_size,max_waitlist_size,final_waitlist_size,avg_cycles_per_day,avg_cycle_length_overall,resolved_count,resolved_avg_wait,resolved_std_wait,resolved_p50,resolved_p90,resolved_p95,resolved_p99,resolved_max,outstanding_count,outstanding_avg_wait,outstanding_p50,outstanding_p90,outstanding_p95,outstanding_p99,outstanding_max,overall_avg_wait,overall_max_wait,starvation_threshold_days,starved_resolved,starved_outstanding,num_districts,cross_district_prob,cross_added,within_added,cross_resolved_count,cross_resolved_avg,cross_resolved_p90,cross_resolved_p99,cross_resolved_max,within_resolved_count,within_resolved_avg,within_resolved_p90,within_resolved_p99,within_resolved_max,cross_outstanding_count,cross_outstanding_avg,within_outstanding_count,within_outstanding_avg,total_solve_ms,avg_solve_ms,max_solve_ms
Greedy DFS,10000,15,365,14424,0.031571,1440.7068,382,2175,2176,8.4000,5.2606,14424,27.4965,40.2410,1,101,114,135,150,2176,59.3975,55,117,129,143,150,31.6782,150,90,1853,548,3,0.0200,240,14360,265,20.5774,85,146,147,14159,27.6260,101,135,150,21,53.9524,2155,59.4506,5368.0070,14.7069,226.2631
Huitfeldt TTC,10000,15,365,14652,0.034889,1268.8521,383,2000,1948,16.4274,2.4366,14652,6.1346,21.9346,1,10,25,112,363,1948,191.6052,196,365,365,365,365,27.8995,365,90,192,1412,3,0.0200,303,14297,316,14.3323,39,160,212,14336,5.9539,9,110,363,33,121.9091,1915,192.8063,7232.1625,19.8141,68.8449
Exact Cardinality,10000,15,365,15023,0.042982,1035.3041,323,2000,1577,18.0466,2.7972,15023,6.2103,22.3436,1,9,26,120,360,1577,180.4616,171,362,365,365,365,22.7642,365,90,217,1098,3,0.0200,291,14309,305,17.1115,40,193,312,14718,5.9844,8,113,360,32,108.8750,1545,181.9443,99.9134,0.2737,1.6523
Exact Priority,10000,15,365,14464,0.032747,1380.9918,392,2125,2136,18.9151,2.4654,14464,26.7786,37.3365,1,87,107,129,148,2136,54.6522,52,107,116,138,146,30.3652,148,90,1357,420,3,0.0200,282,14318,285,28.1298,112,132,141,14179,26.7514,87,129,148,43,71.5116,2093,54.3058,883.7790,2.4213,8.8938
Util Linear,10000,15,365,14877,0.039727,1125.2685,323,2000,1723,23.7452,2.6549,14877,11.1828,31.5405,1,30,66,159,357,1723,141.8207,113,329,365,365,365,24.7423,365,90,468,972,3,0.0200,299,14301,286,20.3846,70,209,222,14591,11.0024,29,158,357,59,98.4746,1664,143.3576,732.7197,2.0075,120.1832
Util Exp 1.01,10000,15,365,15108,0.044774,992.5973,323,2000,1492,23.9699,2.6673,15108,6.9613,26.0304,1,10,28,150,362,1492,172.3365,157,357,365,365,365,21.8252,365,90,274,1026,3,0.0200,282,14318,310,13.2419,28,168,249,14798,6.8298,9,148,362,18,87.1667,1474,173.3765,951.1520,2.6059,165.2216
Util Exp 1.05,10000,15,365,14785,0.042582,1072.6329,323,2000,1815,23.2959,2.6587,14785,9.9035,34.5098,1,15,50,201,363,1815,135.0347,110,318,363,365,365,23.5850,365,90,466,1049,3,0.0200,286,14314,297,12.3906,36,160,251,14488,9.8525,15,202,363,35,120.0000,1780,135.3303,1039.9139,2.8491,211.1389
Util Exp 1.1,10000,15,365,14458,0.040232,1183.3753,323,2145,2142,22.5616,2.6547,14458,12.1403,38.0623,1,23,79,216,360,2142,119.7045,98,257,312,365,365,26.0200,365,90,638,1154,3,0.0200,297,14303,292,17.9658,51,224,348,14166,12.0203,23,216,360,51,114.6471,2091,119.8278,891.7019,2.4430,165.9968
Util Exp 1.5,10000,15,365,14260,0.034141,1378.8493,323,2336,2340,20.7315,2.6707,14260,12.7943,39.1333,1,27,80,221,364,2340,137.1081,115,291,327,365,365,30.3181,365,90,636,1367,3,0.0200,279,14321,262,17.8550,43,225,271,13998,12.6996,27,221,364,63,135.3810,2277,137.1559,807.9635,2.2136,132.2401
Util Exp 1.9,10000,15,365,13962,0.032563,1495.0055,323,2633,2638,21.4904,2.5876,13962,13.8999,39.9382,1,34,93,216,365,2638,133.2854,119,274,309,365,365,32.8721,365,90,717,1595,3,0.0200,278,14322,282,18.5780,52,234,269,13680,13.8034,34,214,365,42,124.0952,2596,133.4341,800.4816,2.1931,125.8141
