algorithm,kind,wait_days,count
Greedy DFS,resolved,1,16566
Greedy DFS,resolved,2,42
Greedy DFS,resolved,3,36
Greedy DFS,resolved,4,34
Greedy DFS,resolved,5,31
Greedy DFS,resolved,6,29
Greedy DFS,resolved,7,28
Greedy DFS,resolved,8,21
Greedy DFS,resolved,9,23
Greedy DFS,resolved,10,26
Greedy DFS,resolved,11,24
Greedy DFS,resolved,12,29
Greedy DFS,resolved,13,22
Greedy DFS,resolved,14,23
Greedy DFS,resolved,15,23
Greedy DFS,resolved,16,18
Greedy DFS,resolved,17,17
Greedy DFS,resolved,18,14
Greedy DFS,resolved,19,18
Greedy DFS,resolved,20,18
Greedy DFS,outstanding,0,40
Greedy DFS,outstanding,1,27
Greedy DFS,outstanding,2,22
Greedy DFS,outstanding,3,26
Greedy DFS,outstanding,4,25
Greedy DFS,outstanding,5,22
Greedy DFS,outstanding,6,19
Greedy DFS,outstanding,7,23
Greedy DFS,outstanding,8,24
Greedy DFS,outstanding,9,19
Greedy DFS,outstanding,10,17
Greedy DFS,outstanding,11,21
Greedy DFS,outstanding,12,22
Greedy DFS,outstanding,13,21
Greedy DFS,outstanding,14,25
Greedy DFS,outstanding,15,23
Greedy DFS,outstanding,16,14
Greedy DFS,outstanding,17,18
Greedy DFS,outstanding,18,21
Greedy DFS,outstanding,19,22
Greedy DFS,outstanding,20,3307
Huitfeldt TTC,resolved,1,16581
Huitfeldt TTC,resolved,2,44
Huitfeldt TTC,resolved,3,37
Huitfeldt TTC,resolved,4,40
Huitfeldt TTC,resolved,5,40
Huitfeldt TTC,resolved,6,21
Huitfeldt TTC,resolved,7,20
Huitfeldt TTC,resolved,8,19
Huitfeldt TTC,resolved,9,31
Huitfeldt TTC,resolved,10,24
Huitfeldt TTC,resolved,11,19
Huitfeldt TTC,resolved,12,9
Huitfeldt TTC,resolved,13,15
Huitfeldt TTC,resolved,14,17
Huitfeldt TTC,resolved,15,9
Huitfeldt TTC,resolved,16,8
Huitfeldt TTC,resolved,17,12
Huitfeldt TTC,resolved,18,10
Huitfeldt TTC,resolved,19,9
Huitfeldt TTC,resolved,20,6
Huitfeldt TTC,outstanding,0,40
Huitfeldt TTC,outstanding,1,23
Huitfeldt TTC,outstanding,2,21
Huitfeldt TTC,outstanding,3,20
Huitfeldt TTC,outstanding,4,25
Huitfeldt TTC,outstanding,5,22
Huitfeldt TTC,outstanding,6,17
Huitfeldt TTC,outstanding,7,21
Huitfeldt TTC,outstanding,8,14
Huitfeldt TTC,outstanding,9,16
Huitfeldt TTC,outstanding,10,8
Huitfeldt TTC,outstanding,11,12
Huitfeldt TTC,outstanding,12,13
Huitfeldt TTC,outstanding,13,18
Huitfeldt TTC,outstanding,14,13
Huitfeldt TTC,outstanding,15,15
Huitfeldt TTC,outstanding,16,9
Huitfeldt TTC,outstanding,17,12
Huitfeldt TTC,outstanding,18,10
Huitfeldt TTC,outstanding,19,12
Huitfeldt TTC,outstanding,20,3488
Exact Cardinality,resolved,1,17344
Exact Cardinality,resolved,2,57
Exact Cardinality,resolved,3,42
Exact Cardinality,resolved,4,29
Exact Cardinality,resolved,5,26
Exact Cardinality,resolved,6,29
Exact Cardinality,resolved,7,30
Exact Cardinality,resolved,8,18
Exact Cardinality,resolved,9,17
Exact Cardinality,resolved,10,10
Exact Cardinality,resolved,11,12
Exact Cardinality,resolved,12,6
Exact Cardinality,resolved,13,10
Exact Cardinality,resolved,14,7
Exact Cardinality,resolved,15,5
Exact Cardinality,resolved,16,5
Exact Cardinality,resolved,17,7
Exact Cardinality,resolved,18,2
Exact Cardinality,resolved,19,3
Exact Cardinality,resolved,20,5
Exact Cardinality,outstanding,0,40
Exact Cardinality,outstanding,1,28
Exact Cardinality,outstanding,2,26
Exact Cardinality,outstanding,3,29
Exact Cardinality,outstanding,4,17
Exact Cardinality,outstanding,5,21
Exact Cardinality,outstanding,6,19
Exact Cardinality,outstanding,7,13
Exact Cardinality,outstanding,8,13
Exact Cardinality,outstanding,9,19
Exact Cardinality,outstanding,10,20
Exact Cardinality,outstanding,11,15
Exact Cardinality,outstanding,12,16
Exact Cardinality,outstanding,13,12
Exact Cardinality,outstanding,14,16
Exact Cardinality,outstanding,15,12
Exact Cardinality,outstanding,16,12
Exact Cardinality,outstanding,17,16
Exact Cardinality,outstanding,18,15
Exact Cardinality,outstanding,19,13
Exact Cardinality,outstanding,20,2764
Exact Priority,resolved,1,15960
Exact Priority,resolved,2,46
Exact Priority,resolved,3,45
Exact Priority,resolved,4,26
Exact Priority,resolved,5,34
Exact Priority,resolved,6,30
Exact Priority,resolved,7,35
Exact Priority,resolved,8,27
Exact Priority,resolved,9,18
Exact Priority,resolved,10,27
Exact Priority,resolved,11,23
Exact Priority,resolved,12,27
Exact Priority,resolved,13,21
Exact Priority,resolved,14,28
Exact Priority,resolved,15,15
Exact Priority,resolved,16,24
Exact Priority,resolved,17,19
Exact Priority,resolved,18,19
Exact Priority,resolved,19,22
Exact Priority,resolved,20,18
Exact Priority,outstanding,0,40
Exact Priority,outstanding,1,24
Exact Priority,outstanding,2,22
Exact Priority,outstanding,3,21
Exact Priority,outstanding,4,24
Exact Priority,outstanding,5,21
Exact Priority,outstanding,6,24
Exact Priority,outstanding,7,20
Exact Priority,outstanding,8,25
Exact Priority,outstanding,9,19
Exact Priority,outstanding,10,22
Exact Priority,outstanding,11,23
Exact Priority,outstanding,12,24
Exact Priority,outstanding,13,21
Exact Priority,outstanding,14,23
Exact Priority,outstanding,15,19
Exact Priority,outstanding,16,20
Exact Priority,outstanding,17,17
Exact Priority,outstanding,18,18
Exact Priority,outstanding,19,16
Exact Priority,outstanding,20,3893
