algorithm,day,waitlist_before,patients_resolved,new_requests,waitlist_after,satisfaction_rate,cycles_found,avg_cycle_length,max_cycle_length,avg_wait_days,max_wait_days,cross_requests_added,cross_resolved,solve_ms
Greedy DFS,1,50000,39380,180,10800,0.787600,69,570.7246,31233,1.0000,1,26,4357,55.9901
Greedy DFS,2,10800,193,180,10787,0.017870,33,5.8485,66,1.6839,2,20,22,12.1956
Greedy DFS,3,10787,165,180,10802,0.015296,34,4.8529,49,2.2970,3,15,13,18.7787
Greedy DFS,4,10802,200,180,10782,0.018515,34,5.8824,96,2.9800,4,19,26,19.2524
Greedy DFS,5,10782,179,180,10783,0.016602,34,5.2647,38,3.5754,5,15,24,12.0794
Greedy DFS,6,10783,213,180,10750,0.019753,37,5.7568,61,4.2676,6,21,26,12.7864
Greedy DFS,7,10750,155,180,10775,0.014419,31,5.0000,47,4.8452,7,29,14,11.9212
Greedy DFS,8,10775,146,180,10809,0.013550,26,5.6154,41,5.5274,8,15,22,22.4628
Greedy DFS,9,10809,182,180,10807,0.016838,32,5.6875,50,5.9011,9,19,29,9.5167
Greedy DFS,10,10807,175,180,10812,0.016193,34,5.1471,79,6.3314,10,18,27,14.9667
Greedy DFS,11,10812,186,180,10806,0.017203,35,5.3143,88,6.9839,11,18,32,13.6669
Greedy DFS,12,10806,167,180,10819,0.015454,36,4.6389,66,7.0359,12,16,15,13.6387
Greedy DFS,13,10819,123,180,10876,0.011369,34,3.6176,18,7.6016,13,20,5,11.0508
Greedy DFS,14,10876,172,180,10884,0.015815,41,4.1951,33,8.6221,14,18,19,19.3153
Greedy DFS,15,10884,160,180,10904,0.014700,38,4.2105,26,9.0312,15,16,8,15.0374
Greedy DFS,16,10904,172,180,10912,0.015774,43,4.0000,37,9.1512,16,18,18,14.2648
Greedy DFS,17,10912,144,180,10948,0.013196,31,4.6452,48,10.2431,17,18,15,13.9456
Greedy DFS,18,10948,134,180,10994,0.012240,27,4.9630,50,10.6418,18,29,23,8.8910
Greedy DFS,19,10994,176,180,10998,0.016009,35,5.0286,35,10.7273,19,16,22,10.4905
Greedy DFS,20,10998,154,180,11024,0.014003,35,4.4000,38,10.9481,20,27,14,15.5294
Greedy DFS,21,11024,185,180,11019,0.016782,37,5.0000,50,11.1514,21,14,21,16.5425
Greedy DFS,22,11019,189,180,11010,0.017152,36,5.2500,59,12.6138,22,18,23,10.7428
Greedy DFS,23,11010,175,180,11015,0.015895,38,4.6053,59,11.6686,23,27,25,24.7306
Greedy DFS,24,11015,143,180,11052,0.012982,39,3.6667,24,12.6154,24,23,13,9.8885
Greedy DFS,25,11052,157,180,11075,0.014206,42,3.7381,32,13.8981,25,14,15,17.0011
Greedy DFS,26,11075,166,180,11089,0.014989,33,5.0303,43,13.5422,26,25,12,11.4646
Greedy DFS,27,11089,143,180,11126,0.012896,36,3.9722,27,14.5664,27,23,11,15.8299
Greedy DFS,28,11126,132,180,11174,0.011864,29,4.5517,41,14.2424,28,17,15,18.0013
Greedy DFS,29,11174,161,180,11193,0.014408,36,4.4722,42,14.7391,29,24,20,12.8664
Greedy DFS,30,11193,157,180,11216,0.014027,33,4.7576,63,15.5732,30,15,20,12.5716
Greedy DFS,31,11216,189,180,11207,0.016851,27,7.0000,55,15.9153,31,15,35,9.4026
Greedy DFS,32,11207,169,180,11218,0.015080,35,4.8286,53,15.6568,32,17,24,11.9410
Greedy DFS,33,11218,157,180,11241,0.013995,36,4.3611,46,16.8599,33,20,14,12.1495
Greedy DFS,34,11241,163,180,11258,0.014500,38,4.2895,33,15.8528,34,20,16,16.5719
Greedy DFS,35,11258,143,180,11295,0.012702,31,4.6129,64,18.9580,35,23,21,14.6351
Greedy DFS,36,11295,140,180,11335,0.012395,39,3.5897,21,16.1500,36,19,8,17.2655
Huitfeldt TTC,1,50000,39366,180,10814,0.787320,7154,5.5027,103,1.0000,1,20,4273,4818.9410
Huitfeldt TTC,2,10814,166,180,10828,0.015350,55,3.0182,20,1.5964,2,18,24,205.3688
Huitfeldt TTC,3,10828,155,180,10853,0.014315,50,3.1000,14,2.2065,3,18,8,227.5526
Huitfeldt TTC,4,10853,178,180,10855,0.016401,58,3.0690,12,2.7079,4,24,9,229.7341
Huitfeldt TTC,5,10855,128,180,10907,0.011792,47,2.7234,6,3.1484,5,20,0,231.5086
Huitfeldt TTC,6,10907,201,180,10886,0.018429,55,3.6545,14,3.9950,6,26,34,243.0384
Huitfeldt TTC,7,10886,149,180,10917,0.013687,49,3.0408,14,4.2483,7,31,12,231.8995
Huitfeldt TTC,8,10917,174,180,10923,0.015938,52,3.3462,21,5.0575,8,16,16,250.5853
Huitfeldt TTC,9,10923,137,180,10966,0.012542,47,2.9149,12,4.9270,9,22,6,245.0813
Huitfeldt TTC,10,10966,164,180,10982,0.014955,46,3.5652,28,5.9085,10,20,21,267.9806
Huitfeldt TTC,11,10982,159,180,11003,0.014478,44,3.6136,15,6.4843,11,18,20,215.0054
Huitfeldt TTC,12,11003,142,180,11041,0.012906,45,3.1556,12,6.2958,12,21,19,250.3217
Huitfeldt TTC,13,11041,123,180,11098,0.011140,43,2.8605,6,6.6667,13,25,0,206.2819
Huitfeldt TTC,14,11098,158,180,11120,0.014237,53,2.9811,11,7.2342,14,16,9,251.7001
Huitfeldt TTC,15,11120,170,180,11130,0.015288,52,3.2692,18,7.8471,15,18,13,260.4846
Huitfeldt TTC,16,11130,145,180,11165,0.013028,47,3.0851,9,7.8414,16,15,14,260.3379
Huitfeldt TTC,17,11165,178,180,11167,0.015943,51,3.4902,18,9.1742,17,20,12,255.5600
Huitfeldt TTC,18,11167,173,180,11174,0.015492,53,3.2642,9,8.7746,18,24,14,249.7588
Huitfeldt TTC,19,11174,191,180,11163,0.017093,52,3.6731,19,9.4974,19,25,28,250.7576
Huitfeldt TTC,20,11163,176,180,11167,0.015766,49,3.5918,27,9.4261,20,15,25,231.2444
Huitfeldt TTC,21,11167,161,180,11186,0.014417,51,3.1569,8,9.7826,21,22,5,232.8372
Huitfeldt TTC,22,11186,174,180,11192,0.015555,49,3.5510,29,10.9885,22,23,17,208.0921
Huitfeldt TTC,23,11192,143,180,11229,0.012777,47,3.0426,9,11.2797,23,17,7,217.5607
Huitfeldt TTC,24,11229,187,180,11222,0.016653,58,3.2241,16,10.7701,24,20,10,252.2035
Huitfeldt TTC,25,11222,138,180,11264,0.012297,42,3.2857,12,9.7826,25,23,7,241.2892
Huitfeldt TTC,26,11264,155,180,11289,0.013761,48,3.2292,25,10.4194,26,23,12,244.5600
Huitfeldt TTC,27,11289,113,180,11356,0.010010,34,3.3235,9,12.0442,27,17,4,196.7598
Huitfeldt TTC,28,11356,190,180,11346,0.016731,59,3.2203,16,12.5526,28,15,18,253.9527
Huitfeldt TTC,29,11346,136,180,11390,0.011987,47,2.8936,17,13.3971,29,26,11,265.9642
Huitfeldt TTC,30,11390,157,180,11413,0.013784,41,3.8293,23,13.1083,30,15,22,270.8172
Huitfeldt TTC,31,11413,195,180,11398,0.017086,58,3.3621,16,13.4769,31,15,18,340.0421
Huitfeldt TTC,32,11398,158,180,11420,0.013862,51,3.0980,14,13.2089,32,20,10,249.6691
Huitfeldt TTC,33,11420,156,180,11444,0.013660,44,3.5455,16,15.0577,33,24,25,250.8034
Huitfeldt TTC,34,11444,136,180,11488,0.011884,44,3.0909,12,13.3309,34,15,11,242.0208
Huitfeldt TTC,35,11488,170,180,11498,0.014798,48,3.5417,26,14.4647,35,19,24,284.6390
Huitfeldt TTC,36,11498,165,180,11513,0.014350,50,3.3000,16,13.5758,36,20,13,250.3285
